ID	RA	Dec	SpectralType	Ref	R-I	I	I-Z	J-H	H-Ks	Ks
1383	03 44 29.59	32 01 37.8	Early or giant	2		21.5	0.93	1.05	0.66	16.69
1387	03 44 28.68	32 01 50.3	Early or giant	2		21.35	1.09	1.45	0.48	16.02
1389	03 44 23.41	32 02 28.8	Early or giant	2		21.15	1.12	1.18	0.52	15.98
1400	03 44 57.39	32 02 58.9	Early or giant	2		21.06	1.04	1.49	0.74	15.39
1416	03 44 39.03	32 05 14.6	Early or giant	2		21.77	0.99	0.9	0.09	17.87
1418	03 44 35.57	32 05 18.2	Early or giant	2		21.5	0.46	1.22	-0.07	17.83
1424	03 44 50.45	32 07 53.9	Mid-M	2		21.72	0.56	0.61	0.36	18.03
1426	03 44 38.50	32 06 52.4	Early or giant	2		21.18	0.77	-0.24	0.71	17.29
1432	03 44 03.83	32 06 49.0	Early or giant	2		21.72	0.96	1.3	0.45	16.93
1461	03 44 57.73	32 08 38.1	M3-M5	2		21.02	0.73	0.96	0.6	16.93
1463	03 44 57.50	32 09 43.1	M5-M6	2		21.29	1.12	0.88	0.76	16.73
1464	03 45 02.44	32 10 16.8	M4.5-M5.5	2		21.24	0.88	0.97	0.34	17.37
1476	03 44 30.41	32 13 10.5	M6-M7/20 \pm 10	2		21.07	0.82	0.33	0.6	18.0
1481	03 44 16.51	32 10 29.9	Early or giant	2		20.7	0.76	1.11	0.56	16.29
1483	03 44 03.74	32 08 19.9	M4-M5	2		21.46	1.05	0.94	0.69	16.56
1511	03 43 58.72	32 08 30.8	Early or giant	2		21.32	0.67	1.01	0.43	17.4
1689	03 44 55.42	32 05 16.2	Early or giant	2	1.0	17.11	0.48	0.67	0.18	14.69
1863	03 45 12.13	32 10 29.4	Giant	2		14.01	0.44	0.7	0.14	11.82
1903	03 44 09.90	32 03 03.1	Early or giant	2		21.86	1.29	1.79	0.83	15.36
1932	03 45 13.56	32 01 20.4	Giant	2		12.76	0.34	0.65	0.15	10.81
1941	03 45 15.69	32 08 12.7	Giant	2		13.02	0.52	0.61	0.28	10.47
2096	03 44 12.94	32 13 24.1	M5-M7	2		20.97	0.87	0.78	1.31	15.95
2110	03 44 26.50	32 13 52.5	Early or giant	2		21.28	0.84	1.26	0.74	16.83
3006	03 44 52.58	32 10 06.4	M1-M3	2		21.68	0.93			
3039	03 45 05.60	32 11 30.6	M2-M4	2		21.48	0.79			
3042	03 44 46.79	32 11 53.6	Early or giant	2		21.85	0.73	1.73	0.41	17.06
3051	03 45 04.84	32 12 19.4	Early or giant	2		21.82	0.85			
3086	03 45 02.13	32 13 56.2	M2-M4	2		20.97	0.8	0.9	0.46	17.0
4037	03 44 16.56	32 05 25.9	Early or giant	2		21.84	0.93	1.2	0.3	16.28
4048	03 44 19.61	32 05 57.9	Early or giant	2		21.3	0.82	0.93	0.59	16.94
4053	03 44 14.89	32 06 12.2	Early or giant	2		21.58	1.07	1.36	0.77	15.7
4098	03 43 59.83	32 09 22.3	M2-M4	2		22.01	0.8	0.89	0.32	17.65
5012	03 44 57.23	32 02 34.2	Early or giant	2		21.69	0.86	1.31	0.66	16.34
5194	03 44 41.29	32 09 37.0	Early or giant	2		22.33	0.94			16.87
5200	03 44 49.76	32 09 41.6	Early or giant	2		21.69	0.97	1.2	0.09	17.77
10226	03 45 26.95	31 56 57.4	Giant	2		14.11	0.47	0.56	0.22	11.94
10252	03 45 23.49	31 58 57.4	Giant	2		11.39	0.73	1.01	0.39	7.65
10338	03 45 23.31	32 00 15.9	Early	2		12.0	0.68	0.66	0.39	9.0
