ID	f_ID	RAh	RAm	RAs	DEd	DEm	DEs	SpType	r_SpType	Adopt	Mem	Teff	AJ	LBol	R-I	Imag	I-Z	J-H	H-K	Kmag	RefPhot	IMF?
16		3.0	44.0	32.74	32.0	8.0	37.5	K,G5-K0,G2-G7(IR)	5,2,2	G6	A_V_	5700.0	0.75	4.4	0.85	11.74		0.63	0.22	9.43	3	yes
17		3.0	44.0	47.72	32.0	19.0	11.9	A0-A9	2	A4	A_V_	8460.0	1.51	20.0		11.98	0.6	0.6	0.33	9.38	3	no
19		3.0	44.0	30.82	32.0	9.0	55.8	A2,<F8(IR)	1,2	A2	A_V_,pm	8970.0	0.63	16.0				0.25	0.15	9.43	3	yes
20		3.0	45.0	7.61	32.0	10.0	28.1	G0-G2	4	G1	A_V_	5945.0	0.62	4.9		11.23	0.33	0.52	0.19	9.41	3	yes
21		3.0	44.0	56.15	32.0	9.0	15.5	G8-K2/4.7	2	K0	A_V_,e	5250.0	1.52	3.9		13.21	0.67	1.03	0.52	9.47	3	no
22		3.0	43.0	51.24	32.0	13.0	9.4	F8-G0,G5-K0	4,2	G5	A_V_	5770.0	0.74	4.3		11.54	0.39	0.61	0.2	9.5	3	no
23		3.0	44.0	38.72	32.0	8.0	42.0	G8-K4,K3-K6(IR)	2,2	K3	A_V_	4730.0	1.93	4.1		13.97	0.85	1.22	0.48	9.49	3	no
24A		3.0	44.0	35.04	32.0	7.0	36.9	K7,K6/0.4,K6-M1(IR)	5,2,2	K6.5	A_V_	4132.0	0.8	1.5	1.23	12.96	0.6	0.92	0.31	9.76	3	yes
24B		3.0	44.0	35.37	32.0	7.0	36.1	K8/32,M0.5/5,K6-M1(IR)	5,2,2	M0	A_V_,e	3850.0	1.07	0.69		14.32	0.71	1.14	0.55	10.39	3	yes
25		3.0	45.0	1.42	32.0	5.0	2.0	A0-A9	2	A4	A_V_	8460.0	1.03	13.0		11.71	0.45	0.42	0.24	9.65	3	yes
26		3.0	43.0	56.03	32.0	2.0	13.3	K7-K8/44,K4-K7(IR)	2,2	K7	A_V_,ex,e	4060.0	2.07	1.5		15.62	0.97	1.73	1.03	9.53	3	no
29		3.0	44.0	31.53	32.0	8.0	45.0	K2,G8-K2,K2-K3(IR)	5,2,2	K2	A_V_	4900.0	0.64	2.1	0.83	12.25	0.48	0.72	0.24	9.72	3	yes
30		3.0	44.0	19.13	32.0	9.0	31.4	F0:	1	F0	pm	7200.0	0.53	6.5		11.0	0.26	0.32	0.08	9.76	3	yes
31		3.0	44.0	18.16	32.0	4.0	57.0	F5-G6/11{+/-}0.5	6	G1	A_V_,e	5945.0	3.34	9.6		15.37	0.99	1.55	0.85	9.69	3	no
32		3.0	44.0	37.89	32.0	8.0	4.2	K7/68,K8/57,K4-K7(IR)	5,2,2	K7	A_V_,ex,e	4060.0	1.41	1.4		14.18	0.78	1.21	0.65	9.83	3	no
33		3.0	44.0	32.59	32.0	8.0	42.5	M2-M3/5.9,M4-M5(IR)	2,2	M2.5	A_V_,NaK	3488.0	0.71	0.87		13.25		0.91	0.31	10.07	3	yes
35		3.0	44.0	39.25	32.0	7.0	35.5	G8,G8-K4,K3-K6(IR)	5,2,2	K3	A_V_	4730.0	1.43	3.6	1.4	13.21	0.71	0.88	0.4	9.55	3	no
36		3.0	44.0	38.47	32.0	7.0	35.7	K6/2,K5-K6/3.9,K6-M1(IR)	5,2,2	K6	A_V_	4205.0	0.95	1.5	1.3	13.26	0.63	0.95	0.38	9.85	3	yes
37		3.0	44.0	37.99	32.0	3.0	29.8	K6/47	2	K6	A_V_,e	4205.0	0.79	0.99		13.18	0.58	1.01	0.57	9.87	3	yes
38		3.0	44.0	23.99	32.0	11.0	0.0	F8,F6-G1(IR)	4,2	G0	A_V_	6030.0	0.73	3.1	0.83	11.84	0.38	0.52	0.17	10.03	3	yes
39		3.0	45.0	1.74	32.0	14.0	27.9	K3-K5	7	K4	A_V_	4590.0	1.34	1.9		13.43	0.7	0.95	0.36	10.04	3	no
40		3.0	44.0	29.73	32.0	10.0	39.8	K6/145v?,K8-M0/104,K6-M1(IR)	5,2,2	K8	A_V_,ex,e	3955.0	1.01	0.76	1.44	14.1	0.66	1.17	0.62	10.14	3	yes
41		3.0	44.0	21.61	32.0	10.0	37.6	K7/48,K7-M2(IR)	5,2	K7	A_V_,ex,e	4060.0	1.59	0.79		14.99	0.83	1.21	0.66	10.62	3	no
42A	j	3.0	44.0	42.02	32.0	9.0	0.1	M3/74,M4-M6(IR),M4.25/22{+/-}2	5,2,7	M4.25	A_V_,e,NaK	3234.0	0.93	0.37		14.88	0.85	1.12	0.53	10.13	3	yes
42B		3.0	44.0	42.14	32.0	9.0	2.2	M1/32,M1-M3(IR),M2-M3/55{+/-}10	5,2,7	M2.5	A_V_,e	3488.0	1.36	0.28		15.83	0.87					no
44		3.0	44.0	8.86	32.0	16.0	10.7	G8-K2	2	K0	A_V_,Li	5250.0	1.0	1.7		13.07	0.52	0.82	0.3	10.26	3	no
45		3.0	44.0	24.29	32.0	10.0	19.4	K5,K5,K4-K7(IR)	5,2,2	K5	A_V_	4350.0	0.66	0.92	1.08	13.08	0.51	0.84	0.24	10.33	3	yes
46		3.0	44.0	11.62	32.0	3.0	13.2	G-K/4.5{+/-}1	7	?	A_V_,e					16.24	1.05	1.56	0.89	10.33	3	no
47		3.0	43.0	55.51	32.0	9.0	32.5	G8-K2	2	K0	A_V_	5250.0	1.06	1.9	1.06	12.97	0.54	0.72	0.26	10.34	3	yes
48		3.0	44.0	34.88	32.0	6.0	33.6	K5-K6/1.5{+/-}0.3	6	K5.5	A_V_	4278.0	0.85	0.99	1.18	13.45	0.6	0.9	0.29	10.31	3	yes
49		3.0	43.0	57.6	32.0	1.0	37.5	K7-M2(IR)	2	M0.5	A_V_	3778.0	2.88	0.36	2.42	19.63	1.37	2.67	1.48	10.41	3	no
50		3.0	44.0	55.63	32.0	9.0	20.2	K3-K5/2{+/-}0.5	7	K4	A_V_,e	4590.0	1.52	1.4		14.28	0.75	1.1	0.39	10.36	3	no
51		3.0	44.0	12.97	32.0	1.0	35.4	?(IR,op)/45{+/-}15	2,7	?	A_V_,e,ex				1.7	19.56	0.88	2.66	2.4	10.03	3	no
52	h	3.0	44.0	43.53	32.0	7.0	43.0	K6,M2-M4(IR)	5,2	M1	A_V_	3705.0	1.48	0.92		14.98	0.86	1.23	0.47	10.42	3	no
53		3.0	44.0	16.43	32.0	9.0	55.2	G8-K2	6	K0	A_V_	5250.0	0.7	1.4	0.89	12.63	0.41	0.74	0.2	10.38	3	yes
55		3.0	44.0	31.36	32.0	0.0	14.7	M0-M1/38{+/-}2	6	M0.5	A_V_,e	3778.0	2.63	0.68	2.51	18.06	1.18	1.98	1.01	10.64	3	no
56		3.0	44.0	5.0	32.0	9.0	53.8	K3-K4	7	K3.5	A_V_	4660.0	0.74	0.93	1.07	13.02	0.47	0.84	0.21	10.5	3	yes
58		3.0	44.0	38.55	32.0	8.0	0.7	K7/9,K6-M1(IR),M1.25	5,2,7	M1.25	A_V_	3669.0	1.04	0.72		14.24	0.74	1.04	0.43	10.47	3	yes
59		3.0	44.0	40.13	32.0	11.0	34.3	G7,G8-K2,K2-K4(IR)	5,2,2	K2	A_V_	4900.0	1.19	1.4	1.26	13.54	0.6	0.86	0.3	10.51	3	no
60A	k	3.0	44.0	25.58	32.0	11.0	30.5	K8/51,K7-M1(IR)	5,2	M0	A_V_,e	3850.0	1.03	0.34		14.99	0.7	1.21	0.63	10.64	3	yes
60B		3.0	44.0	25.5	32.0	11.0	31.2									16.14	0.79					yes
61		3.0	44.0	22.29	32.0	5.0	42.7	K8/51{+/-}2	6	K8	A_V_,e	3955.0	1.25	0.54	1.48	15.23	0.78	1.27	0.57	10.7	3	no
62		3.0	44.0	26.63	32.0	3.0	58.3	M4.75/10{+/-}1	8	M4.75	A_V_,NaK	3161.0	0.52	0.39		14.03	0.79	0.86	0.35	10.59	3	yes
63		3.0	43.0	58.91	32.0	11.0	27.1	M1-M2.5/27{+/-}1	7	M1.75	A_V_,e	3596.0	1.1	0.61		14.42		1.08	0.65	10.42	3	yes
64		3.0	44.0	25.57	32.0	12.0	30.0	M0.5/2.7{+/-}0.5	7	M0.5	A_V_	3778.0	0.36	0.45		13.4	0.52	0.87	0.27	10.68	3	yes
65		3.0	44.0	33.98	32.0	8.0	54.1	K7+/0.9,M2-M4(IR)	2,2	M0	A_V_	3850.0	0.61	0.56	1.2	13.69	0.55	0.87	0.28	10.7	3	yes
66		3.0	44.0	28.47	32.0	7.0	22.4	K6-K7/1.4{+/-}0.2	7	K6.5	A_V_	4132.0	0.65	0.71	1.14	13.53	0.55	0.82	0.27	10.58	3	yes
67		3.0	43.0	44.62	32.0	8.0	17.9	M0.75/35{+/-}2	7	M0.75	A_V_,e	3741.0	0.68	0.48		13.93	0.62	0.92	0.34	10.79	3	no
68		3.0	44.0	28.51	31.0	59.0	54.1	M3.5/5.1	2	M3.5	A_V_,NaK	3342.0	0.83	0.46		14.16	0.76	0.87	0.36	10.77	3	yes
69		3.0	44.0	27.02	32.0	4.0	43.6	M1/3.5{+/-}0.5	6	M1	A_V_	3705.0	0.55	0.46	1.27	13.69	0.59	0.81	0.29	10.85	3	yes
71		3.0	44.0	32.58	32.0	8.0	55.8	M2/5,M3/5,M1-M3(IR)	5,2,2	M3	A_V_,NaK	3415.0	0.95	0.47		14.32		0.98	0.37	10.76	3	yes
72		3.0	44.0	22.57	32.0	1.0	53.7	M2.5/3.5{+/-}1	7	M2.5	A_V_,NaK	3488.0	0.98	0.51		14.31	0.76	0.97	0.36	10.79	3	yes
74		3.0	44.0	34.27	32.0	10.0	49.7	M1/3,M2/5.4,M1-M3(IR)	5,2,2	M2	A_V_,NaK	3560.0	1.14	0.62		14.36	0.79	1.01	0.32	10.81	3	no
75		3.0	44.0	43.78	32.0	10.0	30.6	K8,M2-M4(IR),M1.25	5,2,7	M1.25	A_V_	3669.0	0.84	0.28		14.26	0.68	1.15	0.45	11.15	9	yes
76		3.0	44.0	39.81	32.0	18.0	4.2	M3.75/14{+/-}1	7	M3.75	A_V_,e,NaK	3306.0	0.88	0.39		14.53	0.79	0.95	0.5	10.78	3	no
78A	k	3.0	44.0	26.69	32.0	8.0	20.3	M2-M4(IR),M0-M1/75{+/-}10	2,7	M0.5	A_V_,e,ex	3778.0	1.81	0.53		16.01	0.94	1.43	0.71	10.84	3	no
78B		3.0	44.0	26.56	32.0	8.0	20.6									18.71	1.31					no
79		3.0	45.0	1.52	32.0	10.0	51.5	G8-K2	6	K0	A_V_	5250.0	0.83	0.94		13.23	0.47	0.74	0.25	10.88	3	yes
82		3.0	44.0	37.41	32.0	6.0	11.7	K7	6	K7	A_V_	4060.0	0.71	0.51	1.29	13.89	0.54	0.94	0.28	10.87	3	yes
83		3.0	44.0	37.41	32.0	9.0	0.9	K8/7,M2-M4(IR)	5,2	M1	A_V_	3705.0	1.21	0.51		14.93	0.78	1.05	0.45	10.99	3	no
85		3.0	44.0	28.12	32.0	16.0	0.3	M3.25/5{+/-}1	7	M3.25	A_V_	3379.0	0.6	0.3		14.11	0.68	0.93	0.25	11.05	9	no
86	h	3.0	44.0	27.88	32.0	7.0	31.6	M3/3,M2/3.9,M1-M3(IR)	5,2,2	M2	A_V_,NaK	3560.0	0.79	0.46		14.13	0.69	0.86	0.3	10.97	3	yes
87		3.0	43.0	59.72	32.0	14.0	3.2	M0.75/1.5{+/-}0.5	7	M0.75	A_V_	3741.0	0.47	0.33		14.05	0.56	0.94	0.24	11.06	9	no
88		3.0	44.0	32.77	32.0	9.0	15.8	M2/4,K6-M1(IR),M3.25/5{+/-}0.5	5,2,7	M3.25	A_V_,NaK	3379.0	1.03	0.36		14.63		1.01	0.37	11.1	9	yes
90		3.0	44.0	33.31	32.0	9.0	39.6	M1-M3(IR),M1.5-M2.5/5{+/-}1	2,7	M2	A_V_,NaK	3560.0	1.08	0.41		14.55		1.07	0.46	11.01	9	yes
91		3.0	44.0	39.21	32.0	9.0	44.7	M1/8::,M2-M4(IR)	5,2	M2	A_V_	3560.0	1.08	0.39		14.76		1.07	0.38	11.14	9	yes
92	h	3.0	44.0	23.67	32.0	6.0	46.5	M2.5/4{+/-}0.5	6	M2.5	A_V_,NaK	3488.0	0.81	0.39		14.2	0.71	0.87	0.29	11.08	9	yes
93		3.0	44.0	17.91	32.0	12.0	20.4	M2.5/5.5{+/-}0.5	6	M2.5	A_V_,NaK	3488.0	0.5	0.31		13.87	0.62	0.84	0.24	11.1	9	yes
94		3.0	43.0	32.08	32.0	6.0	17.4	M0.75/1{+/-}0.5	7	M0.75	A_V_	3741.0	0.27	0.29		13.74	0.5	0.8	0.25	11.13	3	no
95		3.0	44.0	21.91	32.0	12.0	11.6	M4/5.5,M2-M4(IR)	2,2	M4	A_V_,NaK	3270.0	0.66	0.29		14.27	0.74	0.89	0.3	11.12	9	yes
96		3.0	44.0	34.87	32.0	9.0	53.4	>K5(IR),M3.5/4{+/-}1	2,7	M3.5	A_V_,NaK	3342.0	0.9	0.31		14.91	0.78	0.93	0.37	11.21	9	yes
97		3.0	44.0	25.56	32.0	6.0	17.0	M2.25/3{+/-}1	7	M2.25	A_V_,NaK	3524.0	1.7	0.54		15.98	0.96	1.23	0.52	11.07	9	no
98		3.0	44.0	38.62	32.0	5.0	6.5	M3.5-M4.5/4{+/-}1	7	M4	A_V_,NaK	3270.0	0.93	0.33		14.88	0.82	0.95	0.37	11.15	9	yes
99A	j	3.0	44.0	19.24	32.0	7.0	34.7	M2/4,M3.75/9.5{+/-}1	5,7	M3.75	A_V_,NaK	3306.0	0.74	0.26		14.78	0.75	0.99	0.55	11.35	9	yes
99B		3.0	44.0	19.01	32.0	7.0	35.7	M4,M5.25	5,7	M5.25	A_V_,NaK	3091.0	0.78	0.041		17.18	0.94					yes
100		3.0	44.0	22.32	32.0	12.0	0.8	M1/90,M2-M4(IR)	2,2	M1	A_V_,e	3705.0	0.9	0.33		14.47	0.69	0.99	0.43	11.25	9	yes
101		3.0	44.0	50.97	32.0	16.0	9.6	M3.25/6{+/-}0.5	7	M3.25	A_V_,NaK	3379.0	0.88	0.35		14.38	0.76	0.89	0.28	11.18	9	no
103		3.0	44.0	44.59	32.0	8.0	12.7	K8/44v?,M2/26,M1-M3(IR)	5,2,2	M2	A_V_,e,NaK	3560.0	1.34	0.38		15.73	0.85	1.02	0.53	11.34	3	no
105		3.0	44.0	11.26	32.0	6.0	12.1	M0/2{+/-}0.3	6	M0	A_V_	3850.0	0.76	0.39		14.32	0.62	0.92	0.27	11.2	9	yes
108		3.0	44.0	38.7	32.0	8.0	56.7	M2/3,M2-M4(IR),M3.25/4.5{+/-}0.5	5,2,7	M3.25	A_V_,NaK	3379.0	0.6	0.24		14.46	0.68	0.92	0.3	11.27	9	yes
110		3.0	44.0	37.4	32.0	12.0	24.3	K6-M1(IR),M1.5-M2.5/22{+/-}2	2,7	M2	A_V_,e	3560.0	1.48	0.34		15.78	0.89	1.24	0.49	11.44	9	no
111		3.0	43.0	48.76	32.0	7.0	33.4	M1.5	7	M1.5	A_V_	3632.0	0.74	0.34		14.31	0.66	0.85	0.25	11.34	9	no
112		3.0	44.0	44.98	32.0	13.0	36.6	M4.75/10.5{+/-}1	7	M4.75	A_V_,NaK	3161.0	0.76	0.24		15.0	0.86	0.9	0.37	11.33	9	yes
113		3.0	44.0	37.19	32.0	9.0	16.1	K4-K7(IR),K6	2,7	K6	A_V_	4205.0	0.77	0.32	1.22	14.41	0.56	0.99	0.26	11.38	9	yes
115		3.0	44.0	29.99	32.0	9.0	21.1	M1,K6-M1(IR),M2-M3	5,2,7	M2.5	A_V_	3488.0	2.29	0.45	2.42	17.18	1.18	1.56	0.67	11.35	9	no
116		3.0	44.0	21.56	32.0	10.0	17.4	M1.5	6	M1.5	A_V_	3632.0	0.81	0.29		14.57	0.68	0.96	0.3	11.4	9	yes
119		3.0	44.0	21.26	32.0	5.0	2.4	M2.5/8{+/-}0.5	6	M2.5	A_V_	3488.0	1.12	0.32		15.19	0.8	0.96	0.38	11.46	9	yes
120		3.0	44.0	22.98	32.0	11.0	57.3	M2-M4?(IR),M2.25/1.5{+/-}0.3	2,7	M2.25	A_V_,NaK	3524.0	0.53	0.22		14.33	0.62	0.95	0.26	11.4	9	yes
122		3.0	44.0	33.22	32.0	15.0	29.1	K5-M0(IR),M2.25/2.5{+/-}0.5	2,7	M2.25	A_V_	3524.0	0.63	0.26				0.89	0.24	11.39	9	no
123		3.0	44.0	24.57	32.0	3.0	57.1	M1/5{+/-}1	6	M1	A_V_	3705.0	1.41	0.44		15.36	0.84	1.04	0.39	11.42	9	no
124		3.0	43.0	54.63	32.0	0.0	30.1	M4.25/7{+/-}1	8	M4.25	A_V_,NaK	3234.0	0.86	0.27		14.9	0.83	0.84	0.39	11.34	9	yes
125		3.0	44.0	21.66	32.0	6.0	24.8	K4-K7(IR),M2.75/4{+/-}0.5	2,7	M2.75	A_V_,NaK	3451.0	0.78	0.29		14.56	0.71	0.93	0.29	11.3	9	yes
128		3.0	44.0	20.18	32.0	8.0	56.6	M1/47,M1-M4(IR)	5,2	M2	A_V_,e	3560.0	1.0	0.32		14.84	0.75	0.9	0.36	11.47	9	yes
129		3.0	44.0	21.29	32.0	11.0	56.4	M2	6	M2	A_V_	3560.0	0.79	0.27		14.54	0.69	1.01	0.32	11.37	9	yes
130		3.0	44.0	4.25	32.0	13.0	50.0	M4.75/5,>K5(IR)	2,2	M4.75	A_V_,NaK	3161.0	0.66	0.22		14.87	0.83	0.82	0.33	11.43	9	no
133		3.0	44.0	41.74	32.0	12.0	2.4	M4-M5,M5-M6(IR)	2,2	M5	A_V_	3125.0	1.1	0.17		16.23	0.99	1.25	0.56	11.49	9	yes
135		3.0	44.0	39.19	32.0	20.0	9.0	M4.5/20,>K5(IR)	2,2	M4.5	A_V_,e,NaK	3198.0	0.55	0.2		14.78	0.77	0.8	0.32	11.47	9	no
136		3.0	44.0	13.62	32.0	15.0	54.3	M3/5{+/-}1	7	M3	A_V_	3415.0	1.45	0.26		15.91	0.91	1.25	0.46	11.51	9	no
137		3.0	44.0	11.44	32.0	19.0	40.1	M3-M4/8,M4-M6(IR),M3/10{+/-}1	2,2,7	M3	A_V_,NaK	3415.0	0.52	0.2		14.36	0.64	0.85	0.29	11.45	9	no
138		3.0	44.0	45.11	32.0	14.0	13.4	M3.5-M4.5/2{+/-}1	7	M4	A_V_,NaK	3270.0	1.97	0.33	2.49	16.91	1.13	1.37	0.59	11.54	9	no
139		3.0	44.0	25.31	32.0	10.0	12.7	M3/51,>K5(IR),M4.75/55{+/-}5	5,2,7	M4.75	A_V_,e,NaK	3161.0	0.86	0.2		15.31	0.89	0.91	0.45	11.53	9	yes
140		3.0	44.0	35.69	32.0	3.0	3.6	M3.25	7	M3.25	A_V_,NaK	3379.0	0.94	0.13	1.75	15.78	0.77	1.16	0.66	11.65	9	yes
141		3.0	44.0	30.54	32.0	6.0	29.7	M1,K5-M0(IR)	2,2	M0.5	A_V_	3778.0	1.09	0.35		15.07	0.73	1.0	0.34	11.48	9	yes
142		3.0	43.0	56.2	32.0	8.0	36.3	M0-M1/4,K5-M0(IR)	2,2	M0	A_V_	3850.0	0.83	0.33		14.65	0.64	0.9	0.25	11.48	9	yes
144		3.0	44.0	38.39	32.0	12.0	59.8	M0/2,K5-M0(IR)	2,2	M0	A_V_	3850.0	0.62	0.21		14.57	0.58	0.99	0.23	11.69	9	yes
145		3.0	44.0	41.31	32.0	10.0	25.3	M3/3:,M4.75/4,M2-M4(IR)	5,2,2	M4.75	A_V_,NaK	3161.0	0.48	0.17		14.69	0.78	0.85	0.33	11.47	9	yes
146		3.0	44.0	42.63	32.0	6.0	19.5	M1/1.5{+/-}0.5	7	M1	A_V_	3705.0	0.2	0.19	1.13	13.99	0.45	0.81	0.19	11.55	9	yes
147		3.0	43.0	49.39	32.0	10.0	40.0	M3.5/11{+/-}1	7	M3.5	e,NaK	3342.0	0.34	0.17		14.62	0.62	0.78	0.26	11.54	9	no
149		3.0	44.0	36.99	32.0	8.0	34.2	M3/8::,K6-M1?(IR),M4.75/30{+/-}5	5,2,7	M4.75	A_V_,e,NaK	3161.0	0.97	0.18		15.66	0.92	0.97	0.44	11.66	9	yes
150		3.0	45.0	2.85	32.0	7.0	0.9	M4.75/8{+/-}2	8	M4.75	A_V_,NaK	3161.0	0.83	0.22		15.21	0.88	0.84	0.37	11.54	9	yes
151		3.0	44.0	34.83	32.0	11.0	18.0	M3,K6-M1(IR)	5,2	M2	A_V_	3560.0	0.93	0.26		14.84	0.73	0.91	0.34	11.62	9	yes
153		3.0	44.0	42.77	32.0	8.0	33.9	M2/91,>K5(IR),M4.75/40{+/-}10	5,2,7	M4.75	A_V_,e,NaK	3161.0	1.17	0.2		15.95	0.98	0.99	0.47	11.75	9	no
154		3.0	44.0	37.79	32.0	12.0	18.2	K6-M1(IR),M4.5/6.5{+/-}1.5	2,7	M4.5	A_V_,NaK	3198.0	0.9	0.19		15.38	0.87	0.92	0.39	11.7	9	yes
156		3.0	44.0	6.79	32.0	7.0	54.1	M4.25/10{+/-}2	7	M4.25	A_V_,NaK	3234.0	0.76	0.17		15.31	0.8	0.88	0.36	11.76	9	yes
157		3.0	44.0	18.58	32.0	12.0	53.2	M2-M3.5/115{+/-}10	7	M2.75	A_V_,e	3451.0	1.35	0.14	1.97	16.43	0.86	1.3	1.0	11.58	9	no
158		3.0	44.0	40.16	32.0	9.0	13.0	M5,>K5(IR)	2,2	M5	A_V_,NaK	3125.0	1.45	0.22		16.5	1.09	1.11	0.54	11.71	9	no
159		3.0	44.0	47.62	32.0	10.0	55.8	M4.25/4{+/-}1	8	M4.25	A_V_,NaK	3234.0	1.62	0.22		16.6	1.05	1.28	0.54	11.75	9	no
160		3.0	44.0	2.59	32.0	1.0	35.1	M4.75/6{+/-}1	8	M4.75	NaK	3161.0	0.34	0.14		14.87	0.74	0.71	0.36	11.67	9	yes
163		3.0	44.0	11.22	32.0	8.0	16.3	M5.25/10.5{+/-}0.5	8	M5.25	NaK	3091.0	0.4	0.14		15.12	0.83	0.71	0.34	11.73	9	yes
165		3.0	44.0	35.45	32.0	8.0	56.3	M4/50:,M5.25/74{+/-}5,>K5(IR)	5,2,2	M5.25	A_V_,e,NaK	3091.0	1.02	0.16		16.15	1.01	0.95	0.54	11.79	9	yes
166		3.0	44.0	42.58	32.0	10.0	2.5	K6-M1(IR),M4.25/50{+/-}10	2,7	M4.25	A_V_,e,NaK	3234.0	1.78	0.24	2.48	16.85	1.1	1.22	0.62	11.81	9	no
167		3.0	44.0	41.18	32.0	10.0	10.2	M3,M2-M4(IR)	2,2	M3	A_V_,NaK	3415.0	1.66	0.15	2.14	16.71	0.98	1.42	0.68	11.94	9	no
168		3.0	44.0	31.35	32.0	10.0	46.9	M2/12,>K5(IR),M4.25/39{+/-}5	5,2,7	M4.25	A_V_,e,NaK	3234.0	0.9	0.12		15.84	0.84	1.12	0.56	11.84	9	yes
169		3.0	44.0	17.77	32.0	4.0	47.6	M3/5,M5.25/7{+/-}0.5,K6-M1?(IR)	5,8,2	M5.25	A_V_,NaK	3091.0	0.78	0.15		15.78	0.94	0.87	0.44	11.84	9	yes
170		3.0	44.0	28.42	32.0	11.0	22.5	M2-M4(IR)	2	M3	A_V_	3415.0	2.4	0.19	2.52	18.62	1.24	1.89	0.81	11.84	9	no
171		3.0	44.0	44.85	32.0	11.0	5.8	M2,M3-M5(IR),M2.75/2.5{+/-}0.5	5,2,7	M2.75	A_V_,NaK	3451.0	0.89	0.17		15.28	0.74	1.02	0.33	11.84	9	yes
173		3.0	44.0	10.13	32.0	4.0	4.5	M5.75/110{+/-}10	8	M5.75	A_V_,e,NaK	3024.0	0.57	0.12		15.89	0.97	0.78	0.52	11.89	9	yes
174		3.0	44.0	4.11	32.0	7.0	17.1	M1.5/3{+/-}0.5	6	M1.5	A_V_	3632.0	0.64	0.18		15.01	0.63	0.89	0.29	11.84	9	yes
175		3.0	44.0	49.8	32.0	3.0	34.2	M4.5/8{+/-}0.5	8	M4.5	A_V_,NaK	3198.0	0.59	0.13		15.31	0.78	0.81	0.35	11.97	9	yes
176		3.0	45.0	4.63	32.0	15.0	1.1	M4.25	7	M4.25	A_V_,NaK	3234.0	1.14	0.17		16.01	0.91	1.11	0.41	11.83	9	no
177		3.0	45.0	5.22	32.0	9.0	54.5	M3/2{+/-}0.5	6	M3	A_V_,NaK	3415.0	0.76	0.15		15.2	0.71	0.95	0.31	11.87	9	yes
178		3.0	44.0	48.83	32.0	13.0	22.1	M2.75/14{+/-}2	7	M2.75	A_V_,e,NaK	3451.0	0.51	0.13		14.94	0.63	0.89	0.26	11.96	9	yes
