F	Ap	Alt_Names	WMR	Spectral_Type	A_v	M_I	log_T_eff	log_L_bol	Mass	log_age	Criteria	Notes
		SR 12		M0	2.3 (GS)	4.0	3.58	0.05	0.33	5.46	ext,pm,x	(4)
		WSB 49	3-6	M4.25	0.3	7.53	3.4930000000000003	-1.22	0.17	6.49	ha,IRX,li,pm,x	
		GY 264	4-45	M8	0.0	10.2	3.398	-1.5	0.04	5.47	ha,var,x	
			3-7	M4.75	0.0	8.75	3.4819999999999998	-1.65	0.14	6.95	x	
		GY 280	2-20	M2	1.0	8.16	3.5439999999999996	-1.59	0.36	7.73	x	(5)
		GY 284	4-22	M3.25	4.9	7.75	3.5189999999999997	-1.37	0.24	6.98	ext,IRX,x	
		GY 292		K5 (LR,GS)	8.9	4.77	3.638	-0.28	0.8	6.58	ext,IRX,x	
		WSB 50	2-6	M4.5	1.9	7.36	3.488	-1.12	0.16	6.33	ext,li,x	
2.0	7.0			M4.5	2.3	9.04	3.488	-1.8	0.15	7.19	ext,ha,li:	
		ROX 30A		K3 (GS)	4.1	5.19	3.676	-0.42	0.9	7.25	ext,x	
1.0	9.0	WLY 2-48/ISO-Oph 159		A0	12	1.68	3.9789999999999996	1.31	2.1	7.53	ext,IRX	
2.0	35.0		4-54	M2.5	2.9	6.44	3.535	-0.89	0.27	6.43	ext,li	
		WLY 2-49	4-24	K5.5	9.6	4.16	3.63	-0.04	0.61	6.01	ext,ha,IRX,x	
		WSB 51	2-35	K6	4.1	4.29	3.6210000000000004	-0.1	0.57	6.01	ext,ha,li,pm,x	
2.0	31.0			K5.5	5.9	4.29	3.63	-0.09	0.63	6.10	ext,li,x	
		WSB 53	1-31	K5.5	3.4	4.43	3.63	-0.15	0.66	6.21	ext,ha,pm	
		WSB 52	3-5	K5	7.0	4.26	3.638	-0.08	0.69	6.18	ext,ha,IRX,li,x	
		SR 9	1-26	K5	1.3 (BA)	3.57	3.638	0.2	0.59	5.71	ha,IRX,li,pm,x	(4)
			2-34	M2	3.9	5.52	3.5439999999999996	-0.54	0.29	6.04	ext,x	
		GY 326	4-64	M2	9.6 (2M)	5.01	3.5439999999999996	-0.77	0.31	6.38	ext,IRX,x	
1.0	14.0		3-21	M3.5	2.2	7.2	3.512	-1.14	0.21	6.54	ext,li	
		VSSG 14	1-14	A7	9.1	1.48	3.895	1.24	2.1	6.76	ext,pm,x	
		ROX 31	1-10	K7.5	5.0	4.12	3.597	0.0	0.41	5.68	ext,x	(4)
		SR 10	1-24	M2	0.0	6.36	3.5439999999999996	-0.87	0.32	6.54	ha,IRX,pm,x	(4)
		WSB 58	3-34	M4.75	0.7	7.41	3.4819999999999998	-1.12	0.15	6.31	x	
			3-31	M5	0.8	7.47	3.477	-1.12	0.14	6.28	ha,li,x	
2.0	30.0		2-3	M2	4.2	5.79	3.5439999999999996	-0.65	0.3	6.20	ext,li	
1.0	11.0			M5.5	0.3	8.66	3.4619999999999997	-1.54	0.1	6.59	li	
2.0	18.0		2-21	M3.75	3.4	6.7	3.491	-0.92	0.16	6.14	ext,li	
		ROX 32	3-11	M3	3.4	6.08	3.525	-0.72	0.22	6.12	ext,li,x	
5.0	73.0			M0	3.4	6.55	3.58	-0.97	0.63	7.33	ext,li	
1.0	24.0	ISO-Oph 194		M4	4.6	7.41	3.498	-1.19	0.18	6.50	ext,ha,IRX,x	
		WSB 60	3-20	M4.5	1.9	7.73	3.488	-1.27	0.16	6.51	ext,ha,IRX	
2.0	10.0	ISO-Oph 195		K6	6.3	4.57	3.6210000000000004	-0.21	0.63	6.23	ext,IRX,li,x	
			3-12	M3	1.9	6.8	3.525	-1.01	0.24	6.49	ext	
2.0	59.0		4-3	M3.5	3.4	8.05	3.512	-1.48	0.22	7.07	ext	
2.0	6.0		2-37	M2.5	4.5	6.72	3.535	-1.0	0.28	6.61	ext,IRX,li,x	
1.0	10.0			M5	1.2	9.45	3.477	-1.91	0.11	7.13	ha	
			2-30	K5	6.7	5.03	3.638	-0.39	0.86	6.80	ext,ha,IRX,x	
			2-4	M2	4.6	6.26	3.5439999999999996	-0.83	0.32	6.48	ext,x	
1.0	26.0		3-39	M5	0.4	8.98	3.477	-1.72	0.13	6.95	li	
		HD 148352		F2 (HS)	0.0 (2M)	1.18	3.838	1.21	2.1	6.71	x	(5)
2.0	44.0			M3.5	5.3	6.68	3.512	-0.93	0.2	6.27	ext	
2.0	45.0		4-57	M3.5	5.2	7.28	3.512	-1.17	0.21	6.59	ext,ha	
		SR 20	1-35	G7	7.0 (GS)	1.46	3.747	1.14	2.8	6.22	ext,ha,pm,x	(4)
2.0	16.0		2-23	M4	2.8	7.25	3.498	-1.13	0.18	6.41	ext,li:,x	
		SR 13	1-15	M3.75	0.0 (BA)	5.33	3.491	-0.38	0.14	4.77	ha,IRX,pm,x	(4)
5.0	7.0			M4.5	1.8	9.36	3.488	-1.93	0.14	7.34	ext,ha,var	
		WSB 63	3-43	M1.5	3.9	5.61	3.553	-0.58	0.35	6.20	ext,ha,li,x	
5.0	4.0			M5.5	0.2	9.73	3.4619999999999997	-1.97	0.08	6.91	ha,IRX,var,x	
2.0	57.0			M5	0.3	7.46	3.477	-1.12	0.14	6.28	ha,IRX,li	
			3-37	M5.5	0.0	8.91	3.4619999999999997	-1.64	0.1	6.67	li	
		ROX 35A		K3 (BA)	2.1 (W)	3.93	3.676	0.08	1.0	6.36	ext,li,x	
		ROX 35B		G4 (BA)	2.5 (GS)	3.64	3.763	0.27	1.2	7.22	ext,x	
