F	Ap	Alt_Names	X-Ray ID	RA	Dec	Li	EW_Ha	I	R-I	SpT_Lit	Spectral_Type	Adopt	Notes
4	91	UCAC3		16 25 22.9	-24 57 18		0.70	12.74	1.27		K3-K5	K3	
4	26			16 25 23.1	-24 42 08		0.95	14.79	1.46		K1-K5	K3	
3	6			16 25 23.6	-24 22 54		1.6	15.61	1.63		G4-G9	G5	
3	35			16 25 24.1	-23 56 56		-1.6	15.18	1.67	M3 (WMR)	M3-M4	M3.5	Poss. dwarf
3	34			16 25 25.6	-24 07 28		1.2	15.19	1.65		G9-K0	K0	
6	42	Same as 3-34					<2				G5-K5		
3	30			16 25 26.3	-24 23 56		1.3	15.67	1.66		G5-K0	G7	
3	45			16 25 26.3	-24 01 06		0.90	14.5	1.85		K7-M0	K7	
3	3	UCAC3		16 25 26.7	-23 56 53		0.90	14.28	1.48		K0-K2	K2	
3	2			16 25 27.0	-24 20 50		0.70	15.66	1.74		K3-K4	K4	
6	76			16 25 28.8	-24 22 59		<0.1	15.14	1.51	M3.25 (WMR)	U	M3.25	
4	65	UCAC3		16 25 29.9	-24 39 14		-0.30	14.15	1.22	M2 (WMR)	M1-M3	M2	Poss. dwarf
4	62			16 25 31.6	-24 21 22		<0.2	17.03	1.61	K1.5 (WMR)	<M0	K1.5	
4	17			16 25 32.3	-24 19 59		> - 3.5	15.63	1.6		K7-M3	M0	
4	58			16 25 34.1	-24 36 32		<0.5	14.81	1.45		U	U	
3	50	GSS 15		16 25 35.6	-24 34 00		0.80	13.39	2.27		M3-M4.5	M4III	Giant
4	98	UCAC3		16 25 36.1	-25 00 26		> - 0.2	13.65	1.2		K2-K6	K5	
3	5			16 25 36.2	-24 04 04		0.90	15.15	1.92		K5.5-K8	K6:	
3	56	ISO-Oph 1/WLY 2-2/UCAC3		16 25 36.8	-24 15 42	Yes	-2.8	13.36	1.58	K3.5 (LR)	K3-K5	K4	
3	49			16 25 37.8	-24 13 43		<0.2	13.57	2.46	M4.25III (WMR)	M3.5-M5	M4.25III	Giant
1	29			16 25 37.9	-24 43 05		0.70	14.71	1.41		K2-K4	K3	
3	40			16 25 44.2	-24 33 02		> - 0.5	16.09	2.13		K2-K4	K3	
4	16	UCAC3	ROX3	16 25 49.6	-24 51 30	Yes	-2.4	11.03	1.01	K3/M0 (BA)	K6-M1	K8	
1	3	UCAC3		16 25 50.5	-24 47 34		1.0	13.47	1.42		G9-K0	K0	
1	28			16 25 51.0	-24 34 55		<0.2	16.38	2.1		K4	K4	
4	44	Same as 1-28					> - 0.4				<K6		
6	5			16 25 52.5	-24 04 19	Yes:	0.70	16.02	1.1	F9.5 (WMR)	G5-K5	G9	
1	33			16 25 57.5	-24 42 07		1.0	14.4	1.62		K0-K2	K2	
1	15			16 25 57.6	-24 41 00		0.70	15.34	1.6		K0-K2	K1	
1	16			16 25 58.9	-24 52 47	Yes:	-7.3	13.86	1.92	M4.5 (WMR)	M2-M4	M4	
3	9			16 26 02.2	-24 02 04		0.60	13.76	1.87		M2.5-M4	M3III	Giant
3	53			16 26 03.0	-24 08 48		3.7	14.73	1.44		F2-F4	F3	
3	20	UCAC3		16 26 09.1	-24 01 29		1.0	13.81	1.36		K0-K3	K2	
4	11	UCAC3		16 26 10.9	-24 52 14		1.0	12.52	1.18		G9-K3	K1	
3	10	UCAC3		16 26 16.9	-24 00 07		1.0	13.36	1.26		K0-K3	K2	
3	43	GSS 29	ROXC J162616.8-242224	16 26 16.9	-24 22 23	Yes:	-2.6	15.23	2.17	K6 (LR)	K5-K6	K6	
4	93	Same as 3-43				Yes	> - 2.5				K5-K6		
6	2	Same as 3-43				Yes	-0.50				K6		
3	15	UCAC3	RXJ1626.3-2407?	16 26 18.7	-24 07 19	Yes	-3.0	13.07	1.8	M3.25 (WMR)	M3-M3.5	M3.25	
3	29			16 26 18.8	-24 12 25		1.1	15.44	1.82		K1-K3	K2	
6	39			16 26 22.5	-23 58 19		> - 1.0	16.12	1.32	K4 (WMR)	K6	K6	
3	23	GSS 32/Source 2	ROXC J162624.0-242449	16 26 24.1	-24 24 48		-7.6	15.58	2.23	K8 (LR)	K5-K6	K5	
3	51			16 26 24.3	-24 01 16		-11	15.84	2.11	M4.5 (WMR)	M3-M5.5	M4.5	
4	31			16 26 29.2	-24 48 15		1.3	16.46	1.04	G0 (WMR)	F6-G3	G0	
1	25			16 26 35.5	-24 55 58		> - 0.4	16.0	1.58		K1-K3	K3	
3	16	ISO-Oph 51	ROXC J162636.8-241552	16 26 37.0	-24 15 52	Yes:	-9.6	15.67	1.7		K7-M1	M0	
3	26	AOC 88		16 26 37.5	-24 08 42		0.80	16.01	1.79		K2-K4	K3	
3	18	GSS 37/VSSG 2	ROXC J162642.8-242030	16 26 42.9	-24 20 30		-10	14.33	1.99	K6 (MMGC), M0 (LR)	K7-M2	M1	
3	33	UCAC3	ROXC J162643.2-241109	16 26 43.1	-24 11 09	Yes	-1.0	13.32	1.51	K8 (WMR)	K7-M0	K8	
1	21			16 26 43.5	-24 52 23		0.80	14.33	1.39		K6-K7	K6	
1	22		ROXN 6	16 26 44.4	-24 47 13	Yes	-4.0	13.92	1.79	M4.5 (WMR)	M3-M4	M4	
3	36			16 26 46.1	-23 58 10		-3.8	15.53	2.11	M3 (WMR)	M2-M4	M3	
1	8		ROXN 9	16 26 48.2	-24 42 03		-9.1	15.58	2.23	M3.75 (WMR)	M5-M6	M5	
4	34	Same as 1-8					-3.4				M4-M6		
2	56	AOC 64		16 26 50.5	-24 13 52	Yes	-6.2	14.79	2.02	M4.5 (WMR)	M3-M4	M3.5	
3	21	Same as 2-56				Yes	-5.8				M3-M4		
6	10			16 26 53.2	-24 05 58		> - 0.4	16.92	1.48	K0.5 (WMR)	U	K0.5	
3	24			16 26 53.7	-24 01 55		1.6	15.78	1.77		G5-K2	G9	
6	85	Same as 3-24					> - 3.0				U		
2	60	UCAC3		16 26 55.0	-24 10 16		0.2	13.84	1.44	M3 (WMR)	M2-M4	M3	
1	1			16 26 57.4	-24 49 48		0.70	15.78	1.78		K4-K5	K5	
4	4			16 26 57.8	-24 52 37		<0.5	17.48	0.98	K5 (WMR)	G2-K6	K5	
2	32		ROXC J162704.0-240932	16 27 04.2	-24 09 32	Yes	-4.1	14.06	1.68	M2 (MMGC)	M0-M2	M1	
3	7	Same as 2-32				Yes	-5.2				M0-M2		
2	51			16 27 04.5	-24 03 28		0.90	13.97	1.6		K0-K3	K2.5	
3	41	Same as 2-51					0.90				K1-K3		
1	5	ISO-Oph 97/GY 194	ROXRF 9	16 27 04.6	-24 42 13	Yes:	-2.6	15.66	1.88		K8-M0	M0	
5	67			16 27 04.6	-24 42 58	Yes	-3.5	14.97	1.72		K6-M1	K8	
2	29			16 27 06.6	-24 07 03		-4.3	15.36	2.18	M4.5 (WMR)	M3-M5	M4.5	
3	46	Same as 2-29					-12				M3-M5.5		
3	57	ISO-Oph 106		16 27 09.1	-24 12 01		-12	16.16	2.29	M2.5 (WMR)	U	M2.5	Poss. dwarf
5	81	Same as 3-57					-5.0				M2-M3		
2	23		ROXC J162711.8-241031	16 27 12.0	-24 10 31	Yes	-0.50	15.33	1.9	M0: (MMGC)	K4-K5	K6	
3	54	Same as 2-23				Yes:	> - 1.5				K4-K6		
5	58	Same as 2-23				Yes	> - 1.0				K6-M2		
6	38	Same as 2-23					-1.7				K6		
1	6	WSB 47		16 27 17.0	-24 47 11		0.70	15.08	1.76	K1 (WMR)	K2-K5	K2	
5	14	Same as 1-6					0.70				K4-K6		
2	61	UCAC3		16 27 17.1	-24 06 48		0.90	13.67	1.67		K1-K3	K3	
3	22	Same as 2-61					0.80				K2-K3		
6	62			16 27 18.0	-23 58 46		0.80	13.2	1.62		K7-K8	K8	
5	82			16 27 18.1	-24 53 16		-9.0	16.63	2.02	M2.5 (WMR)	M0-M5	M2.5	Poss. dwarf
6	17			16 27 20.4	-23 58 42		> - 0.2	17.4	1.34	U (WMR)	M0-M3	M1	
6	21			16 27 25.2	-23 55 54		1.0	13.41	1.34		K2-K3	K2	
2	40			16 27 28.9	-24 09 38		2.8	14.85	1.48		F2-F4	F3.5	
3	38	Same as 2-40					2.9				F2-F5		
1	13	ISO-Oph 149	ROXRF 26	16 27 30.9	-24 47 26		-7.2	16.17	2.15		M1-M2	M1	
6	44	UCAC3		16 27 31.3	-23 59 09		0.30	13.12	1.02	M1 (WMR)	M0-M1	M1	Poss. dwarf
1	17	ISO-Oph 155/GY 292	[IKT2001] 69	16 27 33.2	-24 41 14		-60	15.65	2.01	K8 (LR)	K5-K6	K6	
5	59	Same as 1-17					-80				K6-M0		
1	7	GY 297		16 27 36.5	-24 28 33		<0.2	13.32	1.35	M2 (WMR)	M2-M3.5	M3	
2	46	Same as 1-7					<0.2				M2-M3		
5	88	Same as 1-7					0.30				M3-M4		
6	18	Same as 1-7					0.40				M2-M3		
2	7			16 27 36.9	-23 58 27	Yes:	-10	16.02	2.15		M4-M5.5	M4.5	
1	9	WLY 2-48/ISO-Oph 159		16 27 37.3	-24 30 34		10+em	14.67	1.99	M0 (G)	B5-F2	A0	
2	35			16 27 38.0	-23 57 24	Yes	-2.8	13.73	1.72	M2.5 (WMR)	M1-M3	M2.5	
2	31	UCAC3	ROXC J162738.2-240401	16 27 38.5	-24 04 02	Yes	-1.4	13.41	1.58		K5-K6	K5.5	
1	31			16 27 43.6	-24 51 25		1.0	14.26	1.51		K1-K2	K2	
1	14			16 27 45.2	-25 03 33	Yes	-5.7	14.07	1.85	M4.5 (WMR)	M3-M5	M3.5	
6	79			16 27 49.3	-23 56 09		<0.8	16.5	1.04	G2.5 (WMR)	F6-K0	G2.5	
5	28	UCAC3		16 27 54.4	-24 51 60		0.70	13.63	1.27		K3-K5	K4	
6	23			16 27 59.7	-23 57 16		> - 0.4	17.01	1.74	M0 (WMR)	K8-M0	M0	
2	30			16 28 00.8	-24 00 52	Yes	-3.8	13.9	1.84	M3 (WMR)	M2	M2	
2	27			16 28 01.4	-24 02 11		1.1	14.62	1.48		G5-K0	G9	
2	4			16 28 02.2	-24 19 05		3.3	15.31	1.66		F1-F3.5	F2	
1	11			16 28 03.4	-24 53 22	Yes	-9.2	14.41	2.11		M5-M6	M5.5	
6	78			16 28 04.9	-23 56 08		1.1	17.28	1.22	K5 (WMR)	G5-K2	G9	
2	21			16 28 05.9	-24 29 12		0.90	15.48	1.79		K0-K2	K1	
2	12			16 28 06.6	-24 18 55		2.4	14.79	1.48		F7-G4	G0	
2	43	UCAC3		16 28 08.1	-24 04 49		0.80	13.36	1.58		K1-K4	K3	
5	41			16 28 09.9	-24 48 48		> - 0.4	16.68	0.86	K4.5 (WMR)	K0-K5	K4.5	
5	98			16 28 11.0	-24 55 57		> - 0.4	15.92	2.0		K0-K5	K3:	
2	18			16 28 11.1	-24 06 18	Yes	-6.3	14.29	2.1	M3.75 (WMR)	M3-M4.5	M3.75	
2	22			16 28 11.2	-24 29 19		0.80	15.44	1.7		G9-K0	G9	
2	62			16 28 12.3	-24 09 28		0.90	13.37	2.26		M2.5-M4	M3.5III	Giant
5	17	Same as 2-62					1.2				M2.5-M4.5		
6	34	Same as 2-62					1.2				M3-M4		
1	24	ISO-Oph 194	ROXC J162813.7-243249	16 28 13.9	-24 32 49		-11	15.72	2.36		M3-M4.5	M4	
5	73			16 28 13.9	-24 56 10	Yes	-3.5	14.13	1.45		K7-M0	M0	
6	27			16 28 14.4	-23 57 52		> - 1.4	17.53	1.12	G7 (WMR)	G0-K5	G7	
2	26	AOC 7		16 28 14.9	-24 23 22		-2.3	15.32	1.71		G9-K2	K0:	
2	39			16 28 15.8	-24 09 32		1.1	15.73	1.78		G9-K2	K0	
5	94			16 28 16.6	-24 07 36		> - 2.0	16.79	1.67	U (WMR)	U	M0	
6	7	Same as 5-94					<0.3				K6-M1		
2	10	ISO-Oph 195	RXJ 1628.2-2405	16 28 16.9	-24 05 15	Yes	<-3.4	13.91	1.68	K5 (MMGC)	K5-K6	K6	
1	32			16 28 17.6	-24 33 54		1.0	15.3	1.97		K3-K5	K3	
5	91	Same as 1-32					<0.1				U		
6	49	Same as 1-32					<1.0				G9-K3		
2	53			16 28 18.8	-24 20 15		<0.2	15.01	2.0		M0-M5	M1III	Giant
5	62	Same as 2-53					0.90				K7-M2		
5	29			16 28 20.0	-24 26 11		> - 0.2	15.7	1.2	G5 (WMR)	U	G5	
2	59			16 28 20.1	-24 23 18		-4.2	15.65	2.04	M3.5 (WMR)	M3-M4	M3.5	
5	16			16 28 21.5	-24 48 15		0.70	15.09	1.55		K5-K6	K5	
2	6		ROXC J162821.5-242155	16 28 21.6	-24 21 55	Yes	-3.3	14.99	1.98	M2.5 (WMR)	M2-M3	M2.5	
2	41			16 28 21.7	-24 17 45		1.5	15.29	1.65		F9-G4	G1	
1	10			16 28 23.0	-24 48 28		-14	15.74	2.1		M3.5-M5	M5	
2	9			16 28 24.8	-24 08 14		1.2	16.53	1.54		K4-K6	K4:	
6	33	Same as 2-9					> - 0.1				K3-K5		
1	26			16 28 24.9	-24 35 43	Yes:	-9.0	14.8	1.98	M5 (WMR)	M3.5-M5	M5	
5	12			16 28 28.3	-24 52 22		0.50	15.03	1.37	K6 (WMR)	K5-K6	K6	
5	21			16 28 28.3	-23 58 51		<2.0	17.04	1.31	U (WMR)	U	U	
5	49			16 28 29.4	-24 31 21		<0.1	16.57	1.2	K0 (WMR)	G9-K5	K0	
6	37	Same as 5-49					0.50				K3-K5		
2	37			16 28 31.2	-24 02 34		0.6	14.41	1.93		K4-K6	K5:	
2	44			16 28 32.4	-24 05 49		-6.4	15.44	2.35		M3-M4	M3.5	
2	45			16 28 32.6	-24 15 24		-11	15.97	2.33	M3.5 (WMR)	M3-M4	M3.5	
5	84			16 28 36.3	-24 00 43		<1.0	16.31	1.53	K1 (WMR)	G5-K6	G5:	
6	56	Same as 5-84					1.6				F6-K0		
2	16		ROXC J162843.1-242251	16 28 43.1	-24 22 52	Yes:	-6.8	14.47	2.07	M4.75 (WMR)	M3-M5	M4	
5	51			16 28 43.5	-24 52 18		1.3	12.97	1.08		K0-K4	K2	
5	44			16 28 43.6	-24 04 44		1.7	15.77	1.25	G0 (WMR)	F6-K0	G0	
2	47			16 28 43.9	-24 06 41		0.9	14.32	1.8		K6-M0	M0III	Giant
5	7	AOC 27		16 28 47.2	-24 28 13		-190	16.0	2.05		M3.5-M5.5	M4.5	
5	74			16 28 48.6	-24 04 41		<0.6	14.74	1.41		F0-G9	G0:	
6	50	Same as 5-74					1.9:				F6-G9		
2	54			16 28 49.8	-23 55 08		> - 0.5	15.17	1.65		M3-M4	M3.5	
6	25	Same as 2-54					> - 0.2				M3-M4		
2	25			16 28 51.6	-24 06 11		1.9	15.37	1.31		G2-G4	G3	
5	97	UCAC3		16 28 52.1	-24 47 39		0.80	13.62	1.7		K3-K5	K2	
5	20	AOC 73		16 28 56.9	-24 38 10		1.0	15.44	1.65		K3-K6	K3:	
5	4	AOC 40	ROXC J162856.8-243109	16 28 57.1	-24 31 09		-52	15.39	2.08		M5-M6	M5.5	
2	50	WSB 65		16 28 58.9	-24 04 23		1.5	14.52	1.44		G3-G5	G4	
5	93			16 28 59.2	-24 05 16		> - 0.4	17.05	1.69	G2.5 (WMR)	F1-K5	G2.5	
6	9	Same as 5-93					> - 1.0				U		
6	4			16 29 00.0	-24 26 39		<1.0	15.24	0.96	G9 (WMR)	U	G9	
2	36			16 29 02.0	-23 56 23		<0.4	14.46	2.0		M3-M3.5	M3.5III	Giant
5	53			16 29 02.0	-24 31 11		> - 0.2	17.43	0.89	G7.5 (WMR)	G9-K6	K0	
2	57			16 29 03.1	-24 27 49		-12	13.19	1.95		M3.5-M5.5	M5	
6	31	Same as 2-57				Yes	-17				M3-M5		
5	96			16 29 03.7	-24 30 02		<0.5	16.55	1.7		M2-M4	M3	
6	6	UCAC3		16 29 06.9	-23 55 16		1.6	13.97	1.44		K1-K3	K2	
5	25			16 29 11.6	-24 22 15		> - 0.1	17.79	1.09	G0.5 (WMR)	F0-K5	G0.5	
6	77	Same as 5-25					> - 1.0				K0-K6		
2	42			16 29 14.3	-24 25 42		2.2	15.96	0.82		F9-G3	G1	
2	19			16 29 14.4	-24 11 53		0.80	15.68	1.9		K3-K4	K4	
5	87			16 29 20.1	-24 21 32		-7.0	17.67	1.01	U (WMR)	K6-M2	M0	
5	71	UCAC3		16 29 21.7	-24 45 09		0.80	13.23	1.35		K3	K3	
5	33			16 29 23.5	-24 27 51		> - 0.8	17.52	0.83	K1 (WMR)	U	K1	
5	35			16 29 23.8	-24 43 54		0.90	14.03	1.33		K0-K4	K1	
5	34	UCAC3		16 29 23.9	-24 29 11		<0.2	16.15	0.97	G5 (WMR)	U	G5	
5	24			16 29 24.5	-24 30 55		> - 0.3	17.66	0.87	G2.5 (WMR)	G0-M0	G2.5	
2	8			16 29 24.6	-24 09 01		0.90	14.36	1.43		G8-K0	G9	
2	33	UCAC3		16 29 24.8	-24 06 48		1.0	14.12	1.45		K0-K2	K1	
5	31			16 29 25.6	-24 39 35		1.0	13.97	1.78		K1-K5	K3	
2	14			16 29 27.2	-24 23 18		<0.2	16.0	1.49		M2-M3	M3	
2	17			16 29 28.7	-24 21 26		2.1	15.85	0.83		F7-G4	G0	
2	49			16 29 32.2	-24 05 49		0.80	14.3	1.4		K1-K3	K3	
5	77			16 29 32.5	-24 36 06		<0.2	14.78	1.63		K4-K5	K5	
