
1998bu	234.41	+57.01	855	702	1204	Sab	+55.0	+4.0	-7.7	UBVRI	0.025	24, 25
1998co	41.52	-44.94	5418	5573	5094	S0	+5.0	+2.0	+3.0	UBVRI	0.043	21
1998de	122.03	-35.24	4990	5228	4671	S0	+3.0	+72.0	-8.6	UBVRI	0.057	21, 26
1998dh	82.82	-50.64	2678	2892	2307	Sbc	+10.0	-54.0	-7.8	UBVRI	0.068	21
1998dk	102.85	-62.16	3963	4128	3609	Sc	+3.0	+5.0	+18.9	UBVRI	0.044	21
1998dm	145.97	-67.40	1968	2061	1668	Sc	-37.0	-14.0	+9.9	UBVRI	0.044	21
1998dx	77.67	+26.67	16197	16459	16102	Sb	-12.0	+21.0	+1.2	UBVRI	0.041	21
1998ec	166.29	+20.71	5966	6043	6032	Sb	-20.0	-9.0	+13.3	UBVRI	0.085	21
1998ef	125.88	-30.56	5319	5558	5020	Sa	-2.0	+6.0	-7.3	UBVRI	0.073	21
1998eg	76.46	-42.06	7423	7662	7056	Sc	-25.0	-26.0	-0.1	UBVRI	0.123	21
1998es	143.18	-55.18	3168	3301	2868	S0/Sa	+11.0	0.0	-11.0	UBVRI	0.032	21, 27
1999X	186.58	+39.59	7503	7474	7720	\ldots	+6.0	+4.0	+14.0	UBVRI	0.032	21
1999aa	202.72	+30.31	4330	4227	4572	Sc	+28.0	+1.0	-10.1	UBVRI	0.040	10, 21, 27, 28
1999ac	19.88	+39.94	2848	2904	2943	Scd	-30.0	+24.0	-14.4	UBVRI	0.046	21, 27
1999aw	260.24	+47.45	11392	11168	11763	\ldots	0.0	0.0	-8.2	BVRI	0.032	29
1999by	166.91	+44.11	657	704	827	Sb	+91.0	-96.0	-10.9	UBVRI	0.016	27, 30
1999cc	59.66	+48.74	9392	9549	9452	Sc	+2.0	+17.0	-2.7	UBVRI	0.023	21, 31
1999cl	282.26	+76.50	2281	2187	2605	Sb	+23.0	-46.0	-6.5	UBVRI	0.038	21, 31
1999cp	334.85	+52.71	2845	2737	3115	Scd	+23.0	-52.0	-7.4	BVRI	0.024	28
1999cw	101.77	-67.91	3725	3863	3380	Sab	-2.0	+21.0	+24.0	UBVRI	0.036	21
1999da	89.73	+32.64	3806	4059	3748	E	+1.0	-71.0	-8.7	BVRI	0.056	27, 32
1999dk	137.35	-47.46	4485	4654	4181	Sc	+26.0	+4.0	-0.9	UBVRI	0.054	10, 32
1999dq	152.83	-35.87	4295	4436	4060	Sc	-6.0	-4.0	-10.6	UBVRI	0.110	21, 27
1999ee	6.50	-55.93	3422	3451	3163	Sbc	-10.0	+10.0	-9.5	UBVRI	0.020	33
1999ef	125.72	-50.09	11733	11920	11402	Scd	-10.0	+20.0	+6.8	UBVRI	0.087	21
1999ej	130.44	-28.95	4114	4344	3831	S0/Sa	-20.0	+18.0	+5.3	UBVRI	0.071	21
1999ek	189.40	-8.23	5253	5221	5278	Sbc	-12.0	-12.0	-2.8	UBVRI	0.561	21, 34
1999gd	198.83	+33.98	5535	5451	5775	\ldots	+17.0	+7.0	+3.5	UBVRI	0.041	21
1999gh	255.04	+23.73	2302	2019	2637	E	+16.0	+52.0	+7.4	UBVRI	0.058	21
1999gp	143.25	-19.50	8018	8215	7806	Sb	+10.0	-11.0	-13.0	UBVRI	0.056	21, 27, 32
2000B	166.35	+22.79	5901	5976	5977	E	+19.0	-14.0	+15.7	UBVRI	0.068	21
2000E	100.89	+14.84	1415	1711	1257	Sbc	-26.7	-6.3	-15.5	UBVRI	0.364	35
2000bh	293.74	+40.33	6905	6666	7248	\ldots	-11.0	-8.0	+5.4	BVRI	0.048	36
2000bk	295.29	+55.23	7628	7444	7976	S0	-10.0	+61.0	+12.3	BVRI	0.025	32
2000ca	313.20	+27.83	7080	6857	7352	Sbc	+4.7	+0.6	-2.3	UBVRI	0.067	36
2000ce	149.10	+32.00	4888	5025	4946	Sb	+17.0	+15.0	+7.0	UBVRI	0.057	21, 32
2000cf	99.88	+42.16	10920	11137	10930	\ldots	+4.0	+3.0	+3.2	UBVRI	0.032	21, 31
2000cn	53.44	+23.31	7043	7257	6958	Scd	-7.0	-7.0	-7.8	UBVRI	0.057	21
2000cx	136.50	-52.48	2379	2536	2068	S0	-109.0	-23.0	-8.4	UBVRI	0.082	10, 21, 37, 38
2000dk	126.83	-30.34	5228	5465	4931	E	+9.0	-5.0	-4.5	UBVRI	0.070	21
2000fa	194.17	+15.48	6378	6313	6533	Sd/Irr	+4.0	+7.0	-10.1	UBVRI	0.069	21
2001V	218.92	+77.73	4539	4478	4846	Sb	+28.0	+52.0	-12.9	UBVRI	0.020	39
2001ay	35.98	+68.83	9067	9108	9266	Sb	+9.0	-10.0	-3.0	UBVRI	0.019	40
2001ba	285.39	+28.03	8819	8537	9152	Sb	-22.0	+19.0	-3.5	BVI	0.064	36
2001bt	337.32	-25.87	4388	4275	4332	Sb	+17.1	-14.1	-8.0	BVRI	0.065	34
2001cn	329.65	-24.05	4647	4498	4628	Sc	-17.9	-2.6	+4.7	UBVRI	0.059	34
2001cz	302.11	+23.29	4612	4350	4900	Sbc	-31.4	-0.6	-6.3	BVRI	0.092	34
2001el	251.52	-51.40	1168	1002	1102	Scd	+19.0	-22.0	-10.7	UBVRI	0.014	41
2002bf	156.46	+50.08	7254	7327	7418	Sb	+4.0	+0.6	-9.9	BVRI	0.011	42
2002bo	213.04	+54.85	1293	1184	1609	Sa	-14.2	+11.6	-13.4	UBVRI	0.025	34, 43, 44
2002cx	318.71	+69.14	7184	7085	7494	\ldots	-18.0	+11.0	-5.3	BVRI	0.032	45
2002er	28.67	+25.83	2568	2681	2563	Sc	+4.7	-12.3	-7.5	UBVRI	0.157	46
2003du	101.18	+53.21	1912	2081	1992	Sd/Irr	-13.5	-8.8	-4.7	BVRI	0.010	42
