HII,Teff,E_Teff,e_Teff,FBol,e_FBol,E_FBol,chi2,ADia,e_ADia,E_ADia,Rad,e_Rad,E_Rad,DelRad,E_DelRad,e_DelRad
1139,6651,63,77,51.28,0.62,0.63,0.91,8.87,0.2,0.2,1.277,0.04,0.04,1.1,3.2,3.2
1182,5956,43,53,19.39,0.39,0.4,1.86,6.8,0.13,0.13,0.979,0.029,0.029,1.5,3.0,3.0
1200,6246,49,61,31.51,0.35,0.72,1.76,7.88,0.15,0.17,1.135,0.033,0.035,4.8,3.1,3.2
1207,6016,44,55,18.93,0.71,0.37,3.86,6.58,0.17,0.13,0.948,0.032,0.028,-4.0,3.2,2.8
1215,5968,44,55,18.29,0.35,0.55,2.32,6.58,0.13,0.15,0.947,0.028,0.03,-2.3,2.9,3.1
1220,5309,32,39,6.82,0.17,0.23,1.69,5.07,0.09,0.11,0.731,0.021,0.023,-6.3,2.7,2.9
1298,4975,26,32,4.94,0.24,0.22,5.16,4.92,0.13,0.12,0.709,0.025,0.024,-1.0,3.5,3.3
1305,4376,18,22,2.2,0.17,0.17,9.36,4.24,0.17,0.17,0.611,0.028,0.028,-3.3,4.4,4.4
1309,6569,61,74,47.93,1.7,1.18,2.29,8.79,0.24,0.21,1.265,0.045,0.042,3.1,3.6,3.4
1332,4918,25,31,4.13,0.16,0.14,3.71,4.6,0.1,0.09,0.663,0.021,0.02,-6.0,3.0,2.8
1454,4700,23,28,3.13,0.23,0.24,14.16,4.38,0.17,0.17,0.631,0.028,0.029,-4.9,4.3,4.3
1514,5963,42,53,18.76,0.54,0.19,1.75,6.67,0.14,0.11,0.961,0.03,0.027,-0.7,3.1,2.8
1531,4449,19,24,2.25,0.15,0.19,12.95,4.15,0.15,0.18,0.598,0.025,0.029,-6.4,3.9,4.5
1593,5583,34,44,10.96,0.2,0.2,2.24,5.82,0.1,0.1,0.838,0.023,0.023,-1.0,2.8,2.8
1613,6330,48,61,31.8,0.68,0.35,1.89,7.71,0.16,0.14,1.11,0.034,0.032,-1.0,3.0,2.9
1776,5641,36,46,13.51,0.26,0.13,1.36,6.33,0.11,0.1,0.911,0.026,0.025,5.5,3.0,2.9
1794,6054,46,57,20.82,0.21,0.42,0.79,6.82,0.12,0.14,0.982,0.028,0.029,-2.0,2.8,2.9
1797,6211,49,60,26.01,0.53,0.55,2.16,7.24,0.15,0.15,1.043,0.032,0.032,-2.4,3.0,3.0
1856,6241,46,58,28.41,0.6,0.31,2.13,7.5,0.15,0.13,1.08,0.032,0.031,-0.1,3.0,2.8
1883,4612,20,26,3.85,0.34,0.3,18.99,5.06,0.23,0.21,0.728,0.036,0.034,11.5,5.6,5.2
1924,6066,46,57,21.46,0.22,0.22,1.21,6.9,0.12,0.12,0.993,0.028,0.028,-1.3,2.8,2.8
2016,4319,16,21,2.29,0.08,0.06,1.99,4.44,0.08,0.07,0.64,0.019,0.018,2.3,3.0,2.8
2034,4762,23,29,3.94,0.13,0.17,2.89,4.79,0.1,0.12,0.69,0.021,0.023,2.4,3.1,3.4
2106,5164,28,35,8.79,0.26,0.27,1.43,6.09,0.12,0.12,0.877,0.026,0.026,16.9,3.5,3.5
2126,5352,31,40,7.26,0.24,0.31,3.06,5.15,0.11,0.13,0.742,0.023,0.025,-6.0,2.9,3.2
2244,4627,22,28,3.86,0.14,0.18,2.81,5.02,0.11,0.13,0.723,0.022,0.025,10.5,3.4,3.8
2284,5365,32,40,9.8,0.09,0.09,0.52,5.96,0.09,0.09,0.858,0.023,0.023,8.4,2.9,2.9
2311,5413,35,43,8.8,0.23,0.24,4.16,5.55,0.11,0.11,0.799,0.024,0.024,-0.4,3.0,3.0
2341,5773,40,50,13.31,0.12,0.25,1.94,6.0,0.1,0.11,0.864,0.024,0.025,-4.4,2.7,2.8
2345,6802,65,80,64.81,0.82,0.84,1.62,9.53,0.21,0.21,1.373,0.043,0.043,4.1,3.3,3.3
2366,5356,31,40,8.22,0.28,0.22,1.94,5.48,0.12,0.1,0.789,0.025,0.023,-0.2,3.1,2.9
2462,5385,32,40,7.98,0.2,0.21,1.45,5.34,0.1,0.1,0.768,0.022,0.023,-3.5,2.8,2.8
2506,6111,44,56,23.8,0.49,0.25,1.26,7.16,0.14,0.12,1.03,0.031,0.029,0.5,3.0,2.8
2644,5680,36,46,12.06,0.32,0.22,1.15,5.9,0.12,0.1,0.849,0.025,0.024,-3.0,2.9,2.7
2665,5362,33,41,9.77,0.19,0.19,0.78,5.96,0.1,0.1,0.858,0.024,0.024,8.4,3.0,3.1
2741,4811,23,29,3.53,0.26,0.3,14.15,4.44,0.17,0.19,0.64,0.029,0.031,-6.4,4.2,4.6
2786,6074,44,55,22.53,0.46,0.23,1.11,7.05,0.14,0.12,1.015,0.03,0.029,0.5,3.0,2.8
2870,4887,26,32,3.92,0.21,0.26,8.08,4.54,0.13,0.16,0.654,0.024,0.027,-6.4,3.4,3.9
2880,5198,28,36,7.12,0.19,0.13,0.6,5.41,0.1,0.08,0.779,0.022,0.021,2.9,3.0,2.8
3019,4325,18,22,2.33,0.12,0.13,9.22,4.47,0.12,0.13,0.644,0.023,0.024,2.7,3.6,3.8
3031,7048,64,81,86.19,1.15,0.0,0.68,10.24,0.22,0.21,1.474,0.046,0.045,9.7,3.4,3.3
3063,4295,18,22,2.29,0.14,0.15,6.12,4.5,0.14,0.15,0.647,0.025,0.026,4.0,4.0,4.2
3163,4579,22,27,3.87,0.25,0.23,7.42,5.14,0.17,0.16,0.74,0.03,0.029,13.9,4.6,4.4
3179,6154,44,56,28.14,0.92,0.32,2.34,7.67,0.18,0.13,1.105,0.036,0.031,5.9,3.4,3.0
3187,4495,20,25,2.7,0.13,0.14,7.58,4.45,0.12,0.13,0.641,0.022,0.023,-0.3,3.4,3.6
