BKLT	Other ID	RA_1950	DEC_1950	SpT_prev	SpT_IR	SpT_adopted	Teff	AJ	Lbol	J-H	H-K	K	rK	BrGamma
162615-241924(c)		16 23 14.49	-24 12 40.0		M0-M3	M1.5	3595.0	4.6	0.8	2.51	1.46	9.98	0	0
162616-242225(c)	GSS 29, EL 18	16 23 15.46	-24 15 40.7	K7-M0(GM)	K5-K7	K6	4205.0	3.0	3.1	1.88	1.04	8.19	0	0
162617-242023(c)	GSS 28, DoAr 24, EL 19, ROXs 10A, WSB 27	16 23 15.71	-24 13 39.3	K7-M0(GM), K5(BA)	K6-M2	M0	3850.0	0.8	1.2	1.05	0.58	8.09	0.5	1.9 \pm 0.15
162618-242818		16 23 16.61	-24 21 33.6	Early(WGM)		b				2.57	1.43	12.93		
162618-242611(c)		16 23 17.54	-24 19 27.4	M7.5(WGM)	M5-M6	M5.5	2925.0	3.1	0.05	1.75	1.20	12.18		
162618-242416(c)		16 23 17.56	-24 17 32.2	M5(WGM)	K-M	M5	3010.0	5.0	0.09699999999999999	2.46	1.95	11.94		
162621-242306(c)	GY 6, GSS 30, EL 21	16 23 19.99	-24 16 22.1		?					3.06	2.51	8.32	>2	2.0 \pm 0.2, <0.5
162621-242602(c)	GY 5	16 23 20.27	-24 19 17.7	M7(WGM)	M5-M6	M5.5	2925.0	1.4	0.11	1.13	0.66	10.91	<1	
162622-242354(c)	GY 10	16 23 20.78	-24 17 10.2	M8.5(WGM)	M6-M7	M6.5	2780.0	4.0	0.067	2.16	1.34	12.25		
162622-242409(c)	GY 11	16 23 20.89	-24 17 25.1	M6.5(WGM)		M6.5	2780.0	1.4	0.0028	1.15	1.22	14.15		
162622-242254(c)	GY 12	16 23 20.99	-24 16 10.8	M2(GM)	K6-M1	K8	3955.0	4.6	0.68	2.75	1.87	9.6	0	0
162623-242101(c)	GY 20A, DoAr 24E, GSS 31, EL 22, ROXs 10B, WSB 30	16 23 22.01	-24 14 17.6	K0(BA)	K0-K2	K1	5080.0	1.8	10.0	1.52	0.93	6.44	0	0.7 \pm 0.2
162623-242101(c)	GY 20B, DoAr 24EB	16 23 22.01	-24 14 17.6		?					1.52	0.93	6.44	>2	1.5 \pm 0.4
162623-244311	GY 17, DoAr 25	16 23 22.04	-24 36 27.7	K4(GM), K7(M)	K5-K7	K6	4205.0	0.0	1.0	0.93	0.79	7.57	0	0.9 \pm 0.2
162623-242441(c)	GY 21, LFAM 3	16 23 22.14	-24 17 57.4	K-M(GM), M0(GL)	K-M:	M0	3850.0	3.8	0.36	2.45	1.69	9.94	1(GL)	2.0 \pm 0.7
162624-242449(c)	GY 23, S2, GSS 32, EL 23	16 23 22.64	-24 18 05.6	K(GM)	K5-M2	K8	3955.0	3.1	3.9	2.15	1.48	7.2	0.75	0
162624-241616	EL 24, YLW 32	16 23 22.85	-24 09 32.0		G5-K7			2.3		1.95	1.46	6.77	1-3	2.7 \pm 0.2
162625-242325(c)	GY 31	16 23 23.86	-24 16 41.7	M5.5(WGM)		M5.5	2925.0	16	1.0		3.98	13.09		
162625-242446(c)	GY 29	16 23 23.87	-24 18 02.7		M4-M6	M5	3010.0	6.3	0.47	2.95	2.11	10.86	0	0
162627-242643(c)	GY 37, VSSG 29	16 23 26.38	-24 19 59.5	M6(WGM)	M6	M6	2840.0	1.8	0.037000000000000005	1.31	0.95	11.99		
162629-241908	LFAM 8	16 23 28.31	-24 12 24.3		M0-M3	M1.5	3595.0	6.6	0.46	3.37	2.05	11.19	0	0
162630-243841	GY 45	16 23 28.45	-24 31 57.4		G8.5 III	b				2.40	1.36	8.31		0
162630-242258(c)	GY 51, VSSG 27	16 23 29.12	-24 16 15.3		K3-M1					3.23	2.74	10.72	2, 0.5	5.0 \pm 0.5, 1.5 \pm 0.5
162631-242531(c)	GY 59	16 23 29.95	-24 18 48.0	M6(WGM)	M4-M6	M5	3010.0	3.4	0.099	1.86	1.21	11.68		
162632-242636(c)	GY 64	16 23 31.11	-24 19 53.4	M8(WGM)		M7	2720.0	3.2	0.013999999999999999	1.87	1.43	13.33		
162633-243625	GY 65	16 23 31.34	-24 29 42.4		M2-3 III	b				2.58	1.49	8.91		0
162634-242330(c)	GY 70, S1, GSS 35, VSS 26, EL 25, ROXs 14, YLW 36	16 23 32.78	-24 16 47.1	B2-B5(BA, GSS, CK)	<F8	B3	18700.0			1.56	0.96	6.32	0	0
162637-242302	GY 81, VSSG 4	16 23 36.42	-24 16 19.4		K5-M2	K8	3955.0	4.6	0.2	2.79	1.91	10.92	1-2	3.0 \pm 0.5
162638-242324	GY 84	16 23 37.43	-24 16 41.6	M6(WGM)	M0-M3	M1.5	3595.0	4.6	0.24	2.40	1.26	11.63	0	0
162641-244015	GY 93, WSB 37	16 23 39.72	-24 33 33.0	K-M(GM)	M4	M4	3180.0	0.6	0.31	0.98	0.55	9.2	0	0
162642-242224	GY 107	16 23 41.32	-24 15 42.0	M3?(WGM)		b				2.02	0.97	11.4		
162642-242031	GY 110, VSSG 2, EL 26, GSS 37	16 23 41.48	-24 13 49.0	M0(GM), K6(M)	K6-M2	M0	3850.0	2.9	3.5	1.78	0.93	8.0	0.25	0.6 \pm 0.2
162643-241635	VSSG 11, IRS 19	16 23 42.42	-24 09 52.9	M3(GM)	K6-M2	M0	3850.0	4.0	1.1	2.27	1.27	9.58	0	0
162644-243447	GY 111, WL 12, YLW 2, VSSG 30	16 23 42.66	-24 28 04.7		G5-K7					3.79	2.89	10.18	1-3	1.8 \pm 0.4
162645-242309	GY 116, GSS 39, EL 27, VSSG 28	16 23 43.62	-24 16 26.9	M(GM)	K5-M2	K8	3955.0	4.7	2.1	2.64	1.62	8.88	0.75	2.1 \pm 0.15
162646-241203	WSB 38, VSS 27, ROXs 16	16 23 45.16	-24 05 20.9	K(GM), G9:(BA)	K5-M2	K8	3955.0	1.9	3.4	1.47	0.82	7.51	0.75	0.6 \pm 0.15
162648-242840(c)	GY 128, WL 2	16 23 47.05	-24 21 57.9	K-M(GM)	K-M:					>2.95	3.06	10.99	?	0
162649-243823	GY 129, WL 18	16 23 47.47	-24 31 41.3		?			2.6		1.99	1.39	9.82	>1	13.7 \pm 0.5
162649-242005	GY 135, VSSG 3, LFAM 18	16 23 47.86	-24 13 23.0	K7-M0(GM)	K5-K7	K6	4205.0	4.4	4.4	2.33	1.20	8.62	0	0
162651-243242(c)	GY 141	16 23 49.82	-24 26 00.4	M8.5(LLR)		M8.5	2500.0	0	0.0026	0.76	0.50	13.87		
162653-242229	GY 150, GSS 40, VSSG 6, IRS 21	16 23 52.47	-24 15 47.6		K0-1 III	b				2.86	1.67	9.85		0
162654-242622	GY 153, VSSG 5	16 23 53.04	-24 19 40.2	M2(GM)	K6-M2	M0	3850.0	5.8	1.2	3.02	1.82	9.88	0.25	1.7 \pm 0.4
162654-242231	GY 156, VSSG 6, GSS 40	16 23 53.58	-24 15 49.4		K6-M1	K8	3955.0	6.1	1.3	3.07	1.78	10.19	0	0
162656-242838(c)	GY 163	16 23 55.47	-24 21 56.8	M2.5(WGM)		M2.5	3430.0	9.0	0.26	>2.06	2.28	12.66		
162658-244529	GY 168, SR 24N, IRS 24, EL 28	16 23 56.58	-24 38 48.1	K2(GM), M0.5(CK), M0(M)	K5-M2	K8	3955.0	2.0	2.3	1.70	1.18	7.42	2	1.3 \pm 0.2
162658-244534	GY 167, SR 24S, IRS 25, EL 28	16 23 56.64	-24 38 52.9	K2(GM), K2:(CK), K7(M)	G5-K7	K2	4900.0	1.2	2.4	1.50	1.17	7.08	1-3	4.7 \pm 0.15
162659-243556(c)	GY 172, WL 14	16 23 57.42	-24 29 14.7		M4	M4	3180.0	5.1	0.14	2.74	1.64	11.74	0	0
162702-243726(c)	GY 182, WL 16	16 24 00.64	-24 30 45.0		B8-A7					3.56	2.66	7.92	?	7.2 \pm 0.2
162704-242830(c)	GY 192, WL 1, YLW 6, IRS 29, VSSG 31	16 24 02.61	-24 21 49.3		>M3					3.15	2.26	10.81	?	0
162706-242837(c)	GY 202	16 24 04.47	-24 21 56.0	M7(WGM)	M6-M7	M6.5	2780.0	3.9	0.022000000000000002	2.09	1.70	12.97		
162706-243814(c)	GY 205, WL 17	16 24 05.06	-24 31 33.3		?					3.33	3.29	10.28	>0.5	5.9 \pm 0.4
162709-243408(c)	GY 211, WL 10	16 24 07.48	-24 27 27.0		K5-M2	K8	3955.0	3.6	1.4	2.22	1.39	8.85	0.75	1.4 \pm 0.2, <0.8
162709-243718(c)	GY 214, EL 29, WL 15, YLW 7	16 24 07.71	-24 30 37.4		?					5.20	4.47	7.54	>2	3.0 \pm 0.1
162710-241914	SR 21, VSSG 23, VSS 31, EL 30, YLW 8	16 24 08.78	-24 12 33.7	G1(M)	F0-F8	F4	6590.0	2.7	51.0	1.23	1.03	6.3	<1	0
162711-244046	GY 224	16 24 09.38	-24 34 05.7		?					>3.31	2.90	10.79	>0.5	8.5 \pm 1.0
162711-243832(c)	GY 227, WL 19	16 24 10.00	-24 31 51.2		?						>4.27	11.23	>0.5	0
162711-242343	GY 228, IRS 32	16 24 10.25	-24 17 02.6		<F8					2.63	1.58	10.06	?	0
162712-243449(c)		16 24 10.49	-24 28 08.4		K-M:					2.37	1.76	11.53	?	0
162713-244133	GY 232	16 24 11.44	-24 34 52.5		M0 III	b				>4.46	2.96	9.58		0
162714-245132	WSB 45, ROXs 20A	16 24 12.34	-24 44 51.7	M5(BA)	M1-M4	PMS?, dMe?				0.79	0.34	10.39	0	0
162715-245137	WSB 46, ROXs 20B	16 24 12.98	-24 44 57.2	M2(BA)	M0-M3	PMS?, dMe?				0.90	0.46	9.51	0	0
162715-242640	GY 239, IRS 34, YLW 10B	16 24 13.99	-24 19 59.9	K(GM)	K-M:					>3.53	2.81	10.66	?	0
162715-243843(c)	GY 240A, WL 20	16 24 14.08	-24 32 02.9	K7-M0(GM)	K6-M2	M0	3850.0	4.9	1.4	2.67	1.57	9.21	0.25	0
162715-243843(c)	GY 240B, WL 20	16 24 14.08	-24 32 02.9	K-M(GM)	K5-K7	K6	4205.0	4.9	0.55	2.67	1.57	9.21	0	0
162717-242856(c)	GY 244, YLW 12A, IRS 37, VSSG 26	16 24 16.06	-24 22 16.1		M4	M4		\sim 11		>3.1	2.95	10.95	0	0
162718-242853(c)	GY 246, WL 5, VSSG 26, IRS 38	16 24 16.65	-24 22 12.6	F7(GM)	<G0					>2.68	4.04	10.28	?	0
162718-242906(c)	GY 247, WL 4, IRS 39, VSSG 26	16 24 16.95	-24 22 25.6	M(GM)	M0-M3	M1.5	3595.0	5.4	1.6	3.00	1.93	9.13	0.25	0
162719-244139(c)	GY 250, SR 12, IRS 40, ROXs 21, YLW 13A	16 24 17.67	-24 34 59.5	K4/M2.5(BA), M1(CK)	K6-M2	M0	3850.0	0.2	0.66	0.73	0.28	8.41	0	0
162721-244142(c)	GY 252, YLW 13B, IRS 42	16 24 19.63	-24 35 02.5		<K0					3.90	2.90	8.41	>1	0
162721-244335	GY 253	16 24 19.95	-24 36 55.5		M2-M4	M3	3350.0	8.2	0.83	4.03	2.53	10.78	0	0
162721-242953(c)	GY 254, YLW 14, WL 6	16 24 20.26	-24 23 12.9		?					>2.61	4.35	10.04	>1	6.2 \pm 0.4
162722-241759	VSSG 22	16 24 21.51	-24 11 19.1	K7-M0(GM)	K5-K7	K6	4205.0	4.6	1.8	2.48	1.38	9.41	0	0
162726-243923(c)	GY 262	16 24 24.67	-24 32 44.0		K7-M3	M1	3680.0	6.4	1.0	3.46	2.30	9.77	1	2.2 \pm 0.3
162726-244051(c)	GY 265, YLW 15A, IRS 43	16 24 25.09	-24 34 11.6		?					>3.83	3.71	9.46	>1	1.5 \pm 0.7, <0.5
162727-243116	GY 267, VSSG 25, EL 31, WL 13	16 24 25.83	-24 24 37.0	K-M(GM)	K6-M2	M0	3850.0	3.1	0.92	1.93	1.11	9.3	0.25	0
162728-243934	GY 269, YLW 16A, IRS 44	16 24 26.22	-24 32 54.5		K5-M2	K8				>3.91	3.44	9.65	1	0
162728-242721	GY 273, VSSG 18, EL 32, IRS 45	16 24 26.92	-24 20 42.1		K5-M0	K6.5	4132.0	5.0	0.86	2.99	2.09	9.39	0	0
162729-243917	GY 274, YLW 16B, IRS 46	16 24 27.63	-24 32 37.2		?					>2.35	3.19	11.46	>1	2.0 \pm 0.6
162730-242744	GY 279, VSSG 17, EL 33, IRS 47	16 24 28.65	-24 21 04.6	M(GM), \geq M2(GL)	K5-M2	K8	3955.0	6.9	1.8	3.80	2.69	8.95	0.75, 1(GL)	0
162730-242457	GY 284	16 24 29.37	-24 18 17.4		M0-M3	M1.5	3595.0	2.4	0.35	1.69	0.97	10.04	0	0
162733-244115(c)	GY 292	16 24 31.29	-24 34 36.2		K5-M2	K8	3955.0	2.9	2.1	2.04	1.37	7.92	1	1.0 \pm 0.4, 3.0 \pm 1
162735-243834	GY 295	16 24 33.50	-24 31 55.0		M4	M4	3180.0	1.3	0.36	1.13	0.51	9.64	0	0
162736-242833	GY 297	16 24 34.95	-24 21 54.7		M0-M3	f				0.68	0.25	11.04	0	0
162737-243035	GY 304, YLW 46A, IRS 48	16 24 35.63	-24 23 56.0		<F3					1.88	1.23	7.42	?	0
162738-243043	GY 306, IRS 50	16 24 36.57	-24 24 03.9		M4	M4	3180.0	3.1	0.63	1.87	1.01	9.59	0	0
162738-243658	GY 308, IRS 49	16 24 36.67	-24 30 19.1		K5-M2	K8	3955.0	2.9	1.7	1.96	1.24	8.31	0.75	0.8 \pm 0.2, <2
162738-243838	GY 310	16 24 36.90	-24 31 59.1	M8.5(WGM)		M7	2720.0	1.7	0.079	1.29	0.83	11.08		
162739-243914	GY 314	16 24 37.68	-24 32 35.6	M(GM)	K6-M2	M0	3850.0	2.0	1.4	1.55	0.92	8.35	0.5	1.6 \pm 0.3, <0.5
162739-244316	GY 315, YLW 45, IRS 51	16 24 37.97	-24 36 37.0		G5-K7			\sim 9.5		4.70	3.49	8.93	1-3	2.0 \pm 0.6
162740-242205	GY 319, SR 9, EL 34, ROXs 29, IRS 52, DoAr 34, WSB 54	16 24 38.83	-24 15 26.4	K4(GM), K7(CK), K4/K6(BA)	K5-M2	K8	3955.0	0.0	2.0	0.77	0.51	7.2	0.75	0
162742-243849	GY 326	16 24 40.96	-24 32 10.9	M4(WGM)		M4	3180.0	3.2	0.36	1.78	0.88	10.59		
162746-242323	GY 351, VSSG 13, EL 35	16 24 45.25	-24 16 45.2		M0 III	b				2.20	1.12	7.29		0
162749-242540	GY 372, VSSG 14, EL 36	16 24 48.37	-24 19 02.5	A7(GM), A7:(M)	<F8					1.20	0.82	7.32	0	0
162751-243145	GY 378, YLW 52, IRS 54	16 24 50.26	-24 25 07.6		?					3.13	2.63	10.87	>2	4.3 \pm 0.4
162755-242619	GY 400, SR 10	16 24 53.97	-24 19 41.0	M1.5(CK)	K6-M2	M0	3850.0	0.0	0.55	0.50	0.60	8.74	0.5	2.5 \pm 0.3
162757-244004	GY 410	16 24 56.08	-24 33 26.1	M6(GM)	K6-M0	K7	4060.0	2.7	0.64	1.72	0.92	9.78	0	0
162757-243751	GY 411	16 24 56.19	-24 31 13.3		G8.5 III	b				2.20	1.21	9.52		0
162803-242632	GY 453, VSSG 16, EL 37, IRS 58	16 25 02.13	-24 19 55.5		K2 III	b				1.10	0.77	6.89		0
162809-242322	EL 38, VSSG 15	16 25 07.71	-24 16 45.0		K2-3 III	b				1.52	0.82	7.12		0
162816-243657	WSB 60, YLW 58	16 25 14.88	-24 30 20.9	K-M(GM)	K5-M2:	K8	3955.0	0.7	0.28	1.16	0.78	9.43	0.75	0
162823-242241	SR 20, ROXs 33, DoAr 38, WSB 61	16 25 21.82	-24 16 05.7	G0:(BA)	K5-M2	K8	3955.0	2.1	0.93	1.69	1.13	8.55	1	0
162923-241359	IRAS 64A	16 26 22.00	-24 07 27.1		?					1.79	0.91	6.45	?	0
	ROXs 39	16 27 33.8	-24 27 51.0	K5(BA)	K5-K7	K6	4205.0	0.0	1.4	0.66	0.27	8.0	0	0
