Table 7
Strong Metal Lines in the Arcturus Spectrum

Vacuum Wavelength (mum)	Element	Vacuum Wavelength (mum)	Element	Vacuum Wavelength (mum)	Element	Vacuum Wavelength (mum)	Element	
0.9364927	Fe I	0.9397251	Fe I	0.9416090	Si I	0.9416630	Fe I	
0.9417543	Mg I	0.9432690	Fe I	0.9435350	Mg I	0.9441373	Mg I	
0.9449393	Cr I	0.9449643	Cr I	0.9456792	Fe I	0.9515871	Fe I	
0.9522640	Ni I	0.9548691	Ti I	0.9559132	Fe I	0.9572530	Fe I	
0.9574435	Cr I	0.9576939	Cr I	0.9602228	Ti I	0.9636863	Fe I	
0.9640943	Ti I	0.9650013	Ti I	0.9655763	Fe I	0.9673135	Cr I	
0.9678200	Ti I	0.9691528	Ti I	0.9708333	Ti I	0.9721622	Ti I	
0.9731082	Ti I	0.9737231	Cr I	0.9741244	Fe I	0.9746277	Ti I	
0.9749596	Ti I	0.9755765	Fe I	0.9766045	Fe I	0.9766579	Fe I	
0.9772983	Ti I	0.9786000	Ti I	0.9786267	Ti I	0.9790378	Ti I	
0.9802999	Fe I	0.9834844	Ti I	0.9864443	Fe I	0.9891744	Fe I	
0.9930072	Ti I	1.0000700	Ti I	1.0005833	Ti I	1.0014491	Ti I	
1.0037248	Ti I	1.0039405	Sr II	1.0051583	Ti I	1.0060489	Ti I	
1.0062660	Ti I	1.0067806	Fe I	1.0116788	Fe I	1.0148349	Fe I	
1.0157956	Fe I	1.0170261	Fe I	1.0196018	Ni I	1.0197901	Fe I	
1.0219150	Fe I	1.0221207	Fe I	1.0268037	Fe I	1.0291761	Si I	
1.0330141	Sr II	1.0333055	Ni I	1.0343722	Fe I	1.0346644	Ca I	
1.0374111	Si I	1.0381445	Ni I	1.0381855	Fe I	1.0398643	Fe I	
1.0399659	Ti I	1.0425887	Fe I	1.0426605	Fe I	1.0472531	Fe I	
1.0489107	Cr I	1.0498997	Ti I	1.0535121	Fe I	1.0580062	Fe I	
1.0587546	Ti I	1.0588038	Si I	1.0606332	Si I	1.0610631	Ti I	
1.0630562	Si I	1.0663891	Si I	1.0664550	Ti I	1.0679972	Ti I	
1.0692649	Si I	1.0697178	Si I	1.0729326	Ti I	1.0730350	Si I	
1.0735811	Ti I	1.0752330	Si I	1.0755950	Fe I	1.0777825	Ti I	
1.0786009	Fe I	1.0787510	Si I	1.0789814	Si I	1.0814048	Mg I	
1.0821258	Fe I	1.0830059	Si I	1.0846822	Si I	1.0866494	Fe I	
1.0871763	Si I	1.0872520	Si I	1.0884745	Fe I	1.0885787	Si I	
1.0887246	Fe I	1.0888312	Si I	1.0899290	Fe I	1.0908706	Cr I	
1.0917865	Sr II	1.0956322	Mg I	1.0960310	Mg I	1.0968449	Mg I	
1.0982314	Si I	1.0982832	Ni I	1.0985065	Si I	1.0987538	Si I	
1.0990231	Fe I	1.1018567	Cr I	1.1020985	Si I	1.1122839	Fe I	
1.1199913	Si I	1.1292922	Si I	1.1301955	Si I	1.1313826	Cr I	
1.1359061	Fe I	1.1377194	Fe I	1.1384568	Na I	1.1393868	Cr I	
1.1401185	Cr I	1.1406901	Na I	1.1425449	Fe I	1.1468461	Fe I	
1.1509821	Fe I	1.1525394	Mg I	1.1594684	Si I	1.1596762	Fe I	
1.1610750	Fe I	1.1613739	Cr I	1.1614279	Si I	1.1641448	Fe I	
1.1644164	Si I	1.1693174	Fe I	1.1693404	K I	1.1772836	K I	
1.1776053	K I	1.1783770	Ti I	1.1786489	Fe I	1.1800410	Ti I	
1.1831409	Mg I	1.1842238	Ca II	1.1886096	Fe I	1.1887335	Fe I	
1.1893740	Fe I	1.1896127	Ti I	1.1952813	Ti I	1.1953015	Ca II	
1.1976326	Fe I	1.1977134	Ti I	1.1987475	Si I	1.1994848	Si I	
1.2034808	Si I	1.2043117	Mg I	1.2085302	Si I	1.2086581	Mg I	
1.2086955	Mg I	1.2106853	Si I	1.2193432	Fe I	1.2230455	Fe I	
1.2274054	Si I	1.2393557	Si I	1.2399229	Si I	1.2426428	Mg I	
1.2435646	K I	1.2436854	Mg I	1.2525237	Cr I	1.2525537	K I	
1.2560430	Fe I	1.2603718	Ti I	1.2619374	Fe I	1.2652198	Fe I	
1.2674569	Ti I	1.2682612	Na I	1.2741874	Ti I	1.2810649	Fe I	
1.2814987	Ti I	1.2819546	Ca I	1.2821606	H I	1.2825179	Ti I	
1.2828366	Fe I	1.2834942	Ti I	1.2850548	Ti I	1.2883288	Fe I	
1.2903364	Mn I	1.2913619	Cr I	1.2935865	Ni I	1.2940556	Cr I	
1.2979500	Mn I	1.3010241	Fe I	1.3015456	Ti I	1.3034537	Si I	
1.3037132	Ca I	1.3080848	Ti I	1.3105651	Si I	1.3127033	Al I	
1.3138542	Ca I	1.3151513	Fe I	1.3154383	Al I	1.3180501	Si I	
1.3204755	Cr I	1.3216071	Ni I	1.3285099	Mn I	1.3285278	Fe I	
1.3291215	Si I	1.3291460	Fe I	1.3297479	Mn I	1.3312743	Si I	
1.3322705	Mn I	1.3329283	Si I	1.3355823	Fe I	1.3376334	Ti I	
1.3393101	Fe I	1.3395761	Fe I	1.3419361	Mn I	1.3435909	Ni I	
1.4992872	Fe I	1.5021801	Fe I	1.5029104	Mg I	1.5044355	Mg I	
1.5051826	Mg I	1.5055858	Fe I	1.5081407	Fe I	1.5098820	Fe I	
1.5099983	Fe I	1.5126510	Fe I	1.5140258	Fe I	1.5148195	Fe I	
1.5163289	Mn I	1.5167234	K I	1.5172549	K I	1.5182400	Fe I	
1.5198640	Fe I	1.5211682	Fe I	1.5221899	Mn I	1.5223777	Fe I	
1.5249135	Fe I	1.5266664	Mn I	1.5297316	Fe I	1.5298738	Fe I	
1.5339035	Ti I	1.5339574	Fe I	1.5347990	Fe I	1.5381089	Si I	
1.5398877	Fe I	1.5399925	Fe I	1.5494567	Fe I	1.5505035	Fe I	
1.5505557	Fe I	1.5535998	Fe I	1.5538487	Fe I	1.5546325	Fe I	
1.5548002	Ti I	1.5559624	Ni I	1.5562042	Si I	1.5592519	Fe I	
1.5595753	Fe I	1.5607105	Ti I	1.5608485	Fe I	1.5615399	Fe I	
1.5617894	Fe I	1.5625923	Fe I	1.5636216	Fe I	1.5636895	Ni I	
1.5652785	Fe I	1.5657146	Fe I	1.5666293	Fe I	1.5681803	Fe I	
1.5690306	Fe I	1.5690727	Fe I	1.5696139	Fe I	1.5697035	Fe I	
1.5703273	Ti I	1.5719864	Ti I	1.5727886	Fe I	1.5734056	Fe I	
1.5745006	Mg I	1.5746226	Fe I	1.5753291	Mg I	1.5765617	Fe I	
1.5768629	Fe I	1.5770147	Mg I	1.5773731	Fe I	1.5774924	Fe I	
1.5778378	Fe I	1.5793310	Fe I	1.5802877	Fe I	1.5814452	Fe I	
1.5822462	Fe I	1.5823454	Fe I	1.5826032	Fe I	1.5827140	Fe I	
1.5837954	Si I	1.5839489	Fe I	1.5841107	Ti I	1.5841966	Fe I	
1.5857646	Fe I	1.5868044	Fe I	1.5872858	Fe I	1.5882785	Fe I	
1.5883902	Mg I	1.5888811	Si I	1.5890528	Mg I	1.5892781	Si I	
1.5893862	Mg I	1.5897301	Fe I	1.5899568	Fe I	1.5902364	Fe I	
1.5905859	Fe I	1.5908689	Fe I	1.5910387	Fe I	1.5915647	Fe I	
1.5916936	Fe I	1.5924995	Fe I	1.5946201	Fe I	1.5958447	Fe I	
1.5958813	Mg I	1.5964437	Si I	1.5966916	Fe I	1.5969226	Fe I	
1.5972019	Fe I	1.5985088	Fe I	1.6002094	Fe I	1.6011125	Fe I	
1.6011451	Fe I	1.6012459	Fe I	1.6013985	Fe I	1.6042203	Fe I	
1.6045034	Fe I	1.6047096	Fe I	1.6064409	Si I	1.6075788	Fe I	
1.6080309	Fe I	1.6093127	Fe I	1.6099193	Si I	1.6104678	Fe I	
1.6106802	Fe I	1.6120366	Fe I	1.6130308	Fe I	1.6141232	Ca I	
1.6155175	Ca I	1.6157657	Fe I	1.6160973	Fe I	1.6161778	Ca I	
1.6168131	Si I	1.6169443	Fe I	1.6179391	Fe I	1.6184003	Fe I	
1.6185325	Fe I	1.6190221	Fe I	1.6199481	Fe I	1.6201500	Ca I	
1.6202925	Fe I	1.6208676	Fe I	1.6212171	Fe I	1.6217965	Fe I	
1.6220121	Si I	1.6230050	Fe I	1.6236082	Fe I	1.6240402	Fe I	
1.6246289	Si I	1.6250896	Fe I	1.6289216	Fe I	1.6297294	Fe I	
1.6314951	Ni I	1.6320779	Fe I	1.6323154	Fe I	1.6328914	Fe I	
1.6335988	Fe I	1.6367558	Ni I	1.6384614	Si I	1.6385334	Fe I	
1.6386023	Si I	1.6386729	Fe I	1.6388615	Fe I	1.6398865	Fe I	
1.6402644	Fe I	1.6409076	Fe I	1.6412269	Fe I	1.6439419	Si I	
1.6441112	Fe I	1.6444888	Fe I	1.6449307	Fe I	1.6459396	Fe I	
1.6471419	Fe I	1.6478580	Fe I	1.6491168	Fe I	1.6510801	Fe I	
1.6521735	Fe I	1.6526587	Fe I	1.6528981	Fe I	1.6536499	Fe I	
1.6543711	Fe I	1.6545939	Fe I	1.6556516	Fe I	1.6566292	Fe I	
1.6617302	Fe I	1.6650419	Fe I	1.6658076	Fe I	1.6664068	Fe I	
1.6665922	Fe I	1.6670032	Fe I	1.6685326	Si I	1.6723540	Al I	
1.6727843	Fe I	1.6755176	Al I	1.6757642	Fe I	1.6767949	Al I	
1.6804235	Fe I	1.6825109	Fe I	1.6832772	Si I	1.6871891	Ni I	
1.6894975	C I	1.6974543	Fe I	1.7000887	Ni I	1.7005669	Ni I	
1.7010089	Fe I	1.7015741	Fe I	1.7072339	Fe I	1.7113303	Mg I	
1.7165793	Fe I	1.7208997	Fe I	1.7210463	Si I	1.7230331	Si I	
1.7307038	Fe I	1.7332059	Si I	1.7343286	C I	1.7412291	Mg I	
1.7414241	Fe I	1.7471683	Si I	1.7553341	Fe I	1.7585284	Fe I	
1.7613504	Fe I	1.7621891	Si I	1.7628162	Si I	1.7688737	Fe I	
1.7711463	Fe I	1.7725933	Fe I	1.7726210	Fe I	1.7732942	Fe I	
1.7758583	Mg I	1.7766912	Mg I	1.7775974	Fe I	1.7840949	Fe I	
1.7850865	Fe I	1.7890004	Fe I	1.7935075	Fe I	1.7942698	Fe I	
1.7943777	Fe I	1.7971303	Fe I	1.7984291	Fe I	1.7987210	Fe I	
1.7991446	Ni I	1.8006762	Cr I	1.8045770	Ni I	1.8078612	Fe I	
1.8101228	Fe I	1.8194902	Fe I	1.9430568	Mg I	1.9458301	Ca I	
1.9489667	Fe I	1.9496166	Fe I	1.9498705	Si I	1.9511040	Ca I	
1.9511446	Si I	1.9513500	Si I	1.9514636	Fe I	1.9598082	Fe I	
1.9616920	Fe I	1.9618503	Fe I	1.9640681	Fe I	1.9723943	V I	
1.9727936	Si I	1.9728928	Mg I	1.9739257	Mg I	1.9782195	Ca I	
1.9797279	Fe I	1.9820428	Ca I	1.9852129	Fe I	1.9858512	Ca I	
1.9867646	Ca I	1.9922628	Ca I	1.9928778	Fe I	1.9934361	Si I	
1.9939170	Ca I	1.9967282	Ca I	2.0097535	Fe I	2.0286617	Fe I	
2.0301933	Si I	2.0349441	Si I	2.0355272	Fe I	2.0383973	Si I	
2.0569580	Fe I	2.0608501	Si I	2.0635321	Fe I	2.0703959	Fe I	
2.0704272	Si I	2.0722606	Fe I	2.0809875	Si I	2.0810766	Fe I	
2.0846491	Fe I	2.0922821	Si I	2.1065505	Mg I	2.1066642	Mg I	
2.1098835	Al I	2.1169577	Al I	2.1244261	Fe I	2.1360087	Si I	
2.1785696	Si I	2.1788888	Ti I	2.1825655	Si I	2.1885319	Si I	
2.1903353	Ti I	2.2010505	Ti I	2.2057965	Sc I	2.2062447	Na I	
2.2068751	Si I	2.2089689	Na I	2.2217295	Ti I	2.2238901	Ti I	
2.2263176	Fe I	2.2266250	Fe I	2.2280107	Ti I	2.2316670	Ti I	
2.2386901	Fe I	2.2398975	Fe I	2.2450020	Ti I	2.2479405	Fe I	
2.2543838	Si I	2.2614114	Ca I	2.2626002	Fe I	2.2631137	Ca I	
2.2632897	Ca I	2.2657359	Ca I	2.2671964	Si I	2.2814252	Mg I	
2.2969596	Ti I	2.3150909	Fe I	2.3354795	Na I	2.3385518	Na I	
2.3447857	Ti I	2.4572999	Mg I	2.4825687	Mg I	2.4867327	Mg I	
3.0277195	Mg I	3.1517396	Si I	3.3970842	Mg I	3.6771872	Mg I	
3.6789458	Mg I	3.6825631	Mg I	3.7091205	Fe I	3.8632832	Al I	
3.8664858	Mg I	3.8669012	Mg I	3.8721194	Al I			
