Identifier	RA	Dec	SpT	AV (mag)	References	J (mag)	H (mag)	Ks (mag)	[3.6] (mag)	[4.5] (mag)	[5.6] (mag)	[8.0] (mag)	[24] (mag)
CFHTWIR-Oph 4	16:25:32.41	–24:34:05.2	M6.5	2.5	7	14.88  ±  0.05	13.93  ±  0.05	13.34  ±  0.05	12.71  ±  0.06	12.53  ±  0.06	12.37  ±  0.11	12.31  ±  0.46	...
CFHTWIR-Oph 106	16:28:29.93	–24:54:06.4	M6.5	4.9	7	15.36  ±  0.05	14.51  ±  0.05	13.85  ±  0.05	13.05  ±  0.06	12.57  ±  0.06	12.11  ±  0.07	11.47  ±  0.10	...
CRBR 2322.3-1143	16:26:23.78	–24:18:31.4	M6.7	8.6	4	16.28  ±  0.05	14.62  ±  0.05	13.57  ±  0.05	12.53  ±  0.06	12.25  ±  0.06	12.02  ±  0.08	11.49  ±  0.10	8.17  ±  0.63
CFHTWIR-Oph 16	16:26:18.58	–24:29:51.6	M6.75	18.8	this work	17.09  ±  0.05	14.92  ±  0.05	13.55  ±  0.05	12.14  ±  0.06	11.61  ±  0.06	11.00  ±  0.08	10.18  ±  0.16	6.99  ±  0.63
GY92 202	16:27:05.98	–24:28:36.3	M7(M6.5)	13.0	2, 3	16.79  ±  0.05	14.58  ±  0.05	13.15  ±  0.05	11.78  ±  0.06	11.35  ±  0.06	10.84  ±  0.08	10.19  ±  0.09	7.08  ±  0.63
CFHTWIR-Oph101	16:27:47.25	–24:46:45.9	M7	25.8	this work	19.26  ±  0.05	16.48  ±  0.05	14.78  ±  0.05	13.35  ±  0.06	13.01  ±  0.06	12.72  ±  0.08	12.65  ±  0.13	...
CFHTWIR-Oph57	16:27:04.02	–24:02:46.9	M7.25	6.1	7	15.06  ±  0.05	13.92  ±  0.05	13.18  ±  0.05	12.53  ±  0.07	12.37  ±  0.07	12.14  ±  0.08	11.96  ±  0.11	...
CRBR 2317.3-1925	16:26:18.82	–24:26:10.5	M7.5(M5.5,M7)	10.0	2, 3, 5	14.84  ±  0.04	13.20  ±  0.03	12.14  ±  0.02	11.07  ±  0.06	10.48  ±  0.06	9.79  ±  0.07	8.74  ±  0.09	6.73  ±  0.64
CFHTWIR-Oph47	16:26:52.26	–24:01:46.8	M7.5	5.6	7	15.94  ±  0.05	14.75  ±  0.05	13.97  ±  0.05	13.35  ±  0.07	13.17  ±  0.07	13.05  ±  0.11	12.96  ±  0.22	...
CFHTWIR-Oph66	16:27:14.34	–24:31:32.0	M7.75	15.1	this work	18.42  ±  0.05	16.53  ±  0.05	15.30  ±  0.05	14.07  ±  0.06	13.49  ±  0.06	13.06  ±  0.10	11.90  ±  0.11	7.2   ±  0.63
CFHTWIR-Oph78	16:27:26.23	–24:19:23.1	M7.75	16.4	this work	16.35  ±  0.05	14.36  ±  0.05	13.04  ±  0.05	11.64  ±  0.06	11.14  ±  0.06	10.62  ±  0.07	9.93  ±  0.09	7.79  ±  0.63
CFHTWIR-Oph96	16:27:40.84	–24:29:00.8	M7.75	2.4	this work	14.60  ±  0.05	13.76  ±  0.05	13.19  ±  0.05	12.51  ±  0.06	12.24  ±  0.06	11.79  ±  0.07	10.96  ±  0.09	8.33  ±  0.64
GY92 3	16:26:21.90	–24:44:39.8	M8(M7.5)	0.0	6, 5	12.34  ±  0.02	11.48  ±  0.02	10.86  ±  0.02	9.97  ±  0.06	9.57  ±  0.06	9.21  ±  0.06	8.46  ±  0.09	5.82  ±  0.63
GY92 64	16:26:32.53	–24:26:35.4	M8	11.0	2	16.36  ±  0.05	14.44  ±  0.05	13.17  ±  0.05	12.15  ±  0.06	11.94  ±  0.06	11.71  ±  0.08	11.77  ±  0.17	...
GY92 264	16:27:26.58	–24:25:54.4	M8	0.0	6	13.00  ±  0.02	12.35  ±  0.02	11.84  ±  0.02	11.09  ±  0.06	10.61  ±  0.06	10.18  ±  0.07	9.32  ±  0.09	6.36  ±  0.63
CFHTWIR-Oph34	16:26:39.92	–24:22:33.6	M8.25	9.7	7	15.97  ±  0.05	14.53  ±  0.05	13.48  ±  0.05	12.21  ±  0.07	11.66  ±  0.06	11.13  ±  0.24	10.16  ±  0.40	...
GY92 11	16:26:22.27	–24:24:07.1	M8.5(M6.5,M8.5)	8.0	9, 2, 5	16.18  ±  0.05	14.73  ±  0.05	13.75  ±  0.05	12.39  ±  0.06	11.56  ±  0.06	10.79  ±  0.07	9.61  ±  0.09	6.12  ±  0.64
GY92 141	16:26:51.28	–24:32:42.0	M8.5(M8)	0.7	1, 4	15.06  ±  0.05	14.35  ±  0.05	13.86  ±  0.05	13.15  ±  0.05	12.84  ±  0.06	12.33  ±  0.07	11.78  ±  0.10	...
GY92 310	16:27:38.63	–24:38:39.2	M8.5(M7,M6)	5.7	2, 3, 5	13.27  ±  0.02	11.93  ±  0.02	11.08  ±  0.02	10.18  ±  0.06	9.77  ±  0.06	9.34  ±  0.06	8.35  ±  0.09	4.78  ±  0.63
SONYC-RhoOph-1	16:26:56.33	–24:42:37.8	M9	5.0	10	17.46  ±  0.05	16.44  ±  0.05	15.73  ±  0.05	14.74  ±  0.06	14.46  ±  0.07	14.22  ±  0.23	...	...
CFHTWIR-Oph77	16:27:25.64	–24:37:28.6	M9.75	10.0	this work	18.23  ±  0.05	16.54  ±  0.05	15.36  ±  0.05	14.16  ±  0.06	13.9   ±  0.06	13.52  ±  0.12	13.42  ±  0.20	...
CFHTWIR-Oph98	16:27:44.20	–23:58:52.4	M9.75	3.0	this work	17.08  ±  0.05	15.78  ±  0.05	14.98  ±  0.05	13.66  ±  0.08	13.32  ±  0.07	12.98  ±  0.11	12.28  ±  0.13	...
CFHTWIR-Oph9	16:26:03.28	–24:30:25.9	L0	6.6	this work	17.76  ±  0.05	16.33  ±  0.05	15.32  ±  0.05	14.12  ±  0.07	13.63  ±  0.07	...	...	...
CFHTWIR-Oph18	16:26:19.41	–24:27:43.9	L0	7.8	this work	18.92  ±  0.05	17.16  ±  0.05	16.04  ±  0.05	14.68  ±  0.03	...	...	11.73  ±  0.16	...
CFHTWIR-Oph90	16:27:36.59	–24:51:36.1	L0	2.4	this work	16.83  ±  0.05	15.65  ±  0.05	14.85  ±  0.05	13.86  ±  0.06	13.53  ±  0.06	13.15  ±  0.08	12.32  ±  0.09	8.91  ±  0.68
CFHTWIR-Oph100	16:27:46.54	–24:05:59.2	L0	8.0	this work	17.94  ±  0.05	16.34  ±  0.05	15.26  ±  0.05	14.41  ±  0.07	14.17  ±  0.08	13.96  ±  0.15	...	...
CFHTWIR-Oph103	16:28:10.46	–24:24:20.4	L0	7.5	this work	17.74  ±  0.05	16.15  ±  0.05	15.07  ±  0.05	13.98  ±  0.06	13.68  ±  0.06	13.29  ±  0.11	12.97  ±  0.14	...
CFHTWIR-Oph33	16:26:39.69	–24:22:06.2	L4	3.6	this work	18.16  ±  0.05	16.74  ±  0.05	15.68  ±  0.05	14.35  ±  0.10	14.12  ±  0.08	...	...	...
